ID,GROUP,CC,EMBEDDING_POS,VELOCITY_VECTOR,FINE_PCA,COARSE_PCA
from 10.0 to 20.0 100.0
NumNodes: 200
0,1,1,-2008.4407 -1158.5732,-258.4769287109375 -305.5159912109375,-47.79178641937017,-375.68688571568987
1,1,1,-2099.68 -953.68036,-218.0179443359375 -283.5767822265625,-45.31138361933403,-335.16087624323325
2,1,1,-673.75244 -2104.0225,-444.65838623046875 -417.511962890625,-59.98958572958767,-575.0466209266899
3,1,1,-2167.6143 -1012.4768,-255.3544921875 -261.04766845703125,-44.181975447506765,-342.7738285099105
4,1,1,-1691.1761 -1317.911,-292.1580810546875 -371.0994873046875,-52.48401101858483,-441.83440139400994
5,1,1,-578.39734 -2086.8025,-437.21397399902344 -443.0052490234375,-63.897964113620645,-597.5661735985439
6,1,1,-891.7006 -1795.037,-448.098388671875 -388.9910888671875,-55.94661733986093,-556.7059311999602
7,1,1,-1490.0476 -1350.1951,-298.65673828125 -409.12420654296875,-53.7248594011006,-469.1204813196029
8,1,1,-2209.0571 -901.7968,-212.0035400390625 -256.45489501953125,-43.573094498668056,-315.6631347802064
9,1,1,-2189.0981 -892.982,-205.4033203125 -263.79034423828125,-43.57204979574178,-315.58590320494636
10,1,1,-690.3769 -2031.1564,-418.1216735839844 -416.9107666015625,-62.53737415438059,-569.3224810562263
11,1,1,-2169.704 -877.87616,-206.273681640625 -256.32147216796875,-43.21168342405439,-311.43579782087795
12,1,1,-2250.6729 -997.3272,-237.4552001953125 -252.4345703125,-42.04220082928422,-325.0668771266712
13,1,1,-1414.3204 -1435.315,-313.1988525390625 -421.95819091796875,-54.001555957813686,-485.9548544284794
14,1,1,-1954.9237 -1157.1387,-248.74853515625 -324.71630859375,-49.79486639821054,-384.2771048414348
15,1,1,-582.93585 -1977.1079,-425.9402160644531 -438.8258056640625,-60.67103118784826,-578.6623043456422
16,1,1,-1205.544 -1594.7018,-340.65875244140625 -409.325439453125,-53.078987081140426,-501.01500792828165
17,1,1,-2143.2925 -958.39484,-221.6749267578125 -283.93280029296875,-44.96311980490461,-336.54538341212896
18,1,1,-1866.4071 -1074.3726,-233.308349609375 -324.26617431640625,-48.8415400854031,-371.7452907295007
19,1,1,-2200.6765 -971.79504,-242.7613525390625 -284.3004150390625,-44.64149366361199,-346.8955235611496
20,1,1,-1724.3496 -1207.0795,-263.4041748046875 -352.27874755859375,-52.817261561109994,-413.35183823366935
21,1,1,-511.8473 -2115.8052,-465.1615562438965 -481.0924072265625,-62.160679498966694,-624.6893429290733
22,1,1,-2047.0645 -1120.821,-251.762939453125 -294.08544921875,-47.01998311044697,-365.3137040876547
23,1,1,-2167.386 -930.6668,-241.8056640625 -236.41796875,-44.410586939608265,-324.43767751080225
24,1,1,-1771.8212 -1246.534,-277.2442626953125 -352.227783203125,-52.832179612115375,-422.13296187603095
25,1,1,-1862.0636 -1131.174,-228.380859375 -339.5048828125,-51.37417734027499,-383.1384386899297
26,1,1,-1872.3234 -1193.1124,-262.374755859375 -341.04241943359375,-51.90405269022685,-404.20093586951793
27,1,1,-1180.3528 -1637.6615,-327.41217041015625 -471.164794921875,-54.09277048703404,-524.3038420646448
28,1,1,-1826.0369 -1280.7109,-274.6275634765625 -353.43255615234375,-48.84594856493876,-412.5789796741166
29,1,1,-650.1022 -1986.6066,-436.8509826660156 -424.17333984375,-62.62381800627622,-582.8488621886881
30,1,1,-1790.6132 -1183.6447,-268.7774658203125 -347.61053466796875,-52.61057527448818,-411.6396941079213
31,1,1,-487.5224 -2096.7231,-452.19478607177734 -445.8106689453125,-61.86009017217745,-602.2385302822158
32,1,1,-891.5584 -1962.4302,-435.4876708984375 -388.936767578125,-57.681531193715834,-554.798483770816
33,1,1,-492.26346 -2054.9575,-432.2184600830078 -456.0933837890625,-61.287272683476175,-592.8647385151176
34,1,1,-634.19836 -2121.5906,-453.1160430908203 -432.7288818359375,-60.475693295261244,-590.6102554746266
35,1,1,-1943.8304 -1050.8701,-227.7037353515625 -314.909423828125,-48.05120322233647,-361.73632572723216
36,1,1,-1867.6279 -1244.7463,-293.8701171875 -327.79833984375,-50.65239236394826,-413.63464696596645
37,1,1,-965.33777 -1851.8816,-452.47833251953125 -341.4368896484375,-57.20883494470508,-541.7393042102731
38,1,1,-2182.0679 -956.3615,-197.1602783203125 -268.086181640625,-44.32299611260449,-316.07695325826927
39,1,1,-539.7729 -2149.9707,-465.0353240966797 -445.540283203125,-61.21131719746969,-607.0218354471476
40,1,1,-1233.3561 -1573.2493,-334.69439697265625 -425.70947265625,-52.437556753808586,-502.89691161931574
41,1,1,-1175.1453 -1605.8062,-357.454833984375 -420.588134765625,-52.594425058731765,-513.580509258479
42,1,1,-1946.2286 -1217.3043,-279.610595703125 -319.96014404296875,-49.27691537069697,-398.27782994171076
43,1,1,-1981.0199 -1202.7238,-253.9786376953125 -315.33721923828125,-48.229395043618446,-379.7012306507758
44,1,1,-701.9148 -1956.541,-448.9248962402344 -409.266357421875,-62.069862627449865,-581.105166698483
45,1,1,-1385.7124 -1471.2332,-313.7001953125 -416.5753173828125,-55.07307192083988,-488.76970930137867
46,1,1,-1310.4409 -1499.9604,-337.793212890625 -412.8890380859375,-54.674690839650694,-500.68615612248
47,1,1,-1698.2743 -1247.2014,-312.1700439453125 -351.4210205078125,-53.45989246811339,-440.95193347715997
48,1,1,-1767.0476 -1172.7227,-259.1767578125 -355.63934326171875,-52.28404422576893,-409.92156006081507
49,1,1,-1831.9362 -1132.4269,-237.0609130859375 -352.93975830078125,-51.72127798845367,-394.7073042460455
50,1,1,-898.5805 -1898.5562,-428.2475280761719 -390.3590087890625,-58.38626011663449,-553.8674161676732
51,1,1,-1841.6237 -1310.5154,-302.0418701171875 -347.4464111328125,-47.88549310085351,-422.1944580171062
52,1,1,-1724.3916 -1231.8667,-279.7860107421875 -358.13165283203125,-53.630523880255296,-426.9643418050596
53,1,1,-644.72156 -2043.1626,-412.89520263671875 -419.9610595703125,-62.285258129654416,-567.3907757585638
54,1,1,-584.6836 -2053.246,-439.00624084472656 -432.3284912109375,-63.933696208409195,-592.5397735890158
55,1,1,-1445.239 -1418.3917,-310.383056640625 -416.1363525390625,-54.643514999037045,-482.7089812386929
56,1,1,-2192.9126 -937.4661,-226.9669189453125 -265.6734619140625,-44.51879624010101,-330.36315527245927
57,1,1,-923.6271 -1951.9105,-422.1642150878906 -461.663818359375,-57.200875373212654,-578.3840605453476
58,1,1,-1564.819 -1313.8394,-288.60693359375 -388.390869140625,-54.08418092426518,-453.09942896186476
59,1,1,-705.0738 -1893.4816,-452.40650939941406 -400.2532958984375,-57.91654832808019,-568.5453195979882
60,1,1,-1845.6844 -1116.441,-242.8896484375 -324.36614990234375,-51.27539892890626,-383.46885548630183
61,1,1,-830.49347 -1941.3909,-414.69744873046875 -393.9176025390625,-59.44649147761062,-550.9769772049667
62,1,1,-1429.5068 -1386.9025,-284.526611328125 -428.27691650390625,-53.82896473346369,-472.903737509095
