ID,GROUP,CC,EMBEDDING_POS,VELOCITY_VECTOR,FINE_PCA,COARSE_PCA
from 10.0 to 20.0 100.0
NumNodes: 200
0,1,1,535.1181 1488.8726,-150.2757568359375 482.27044677734375,60.942511462944275,474.27103519111193
1,1,1,596.04675 1708.5652,-18.241455078125 535.85498046875,56.64052614724583,439.4869014817507
2,1,1,-1076.6647 994.2711,-383.46868896484375 283.95916748046875,53.72958120648083,454.26314382051197
3,1,1,670.5745 1668.8107,2.2750244140625 481.7117919921875,53.770738198519446,390.57157727781265
4,1,1,207.91165 1326.3541,-183.38815307617188 510.26873779296875,65.91397662522733,522.9807656847098
5,1,1,-1141.6265 1058.8033,-529.293212890625 295.4486083984375,58.47236305662716,537.420910638497
6,1,1,-714.8344 1136.0996,-321.0836486816406 419.94610595703125,54.61087029663724,517.0680578163574
7,1,1,30.666668 1238.083,-250.4263801574707 572.0469970703125,67.04296549015358,597.8828749893805
8,1,1,689.1004 1783.1659,106.47442626953125 497.1712646484375,53.14405547179775,360.47708859108195
9,1,1,668.2662 1792.2297,106.152099609375 520.123291015625,53.32118010550547,373.5713512130103
10,1,1,-1016.79285 1037.375,-394.605224609375 349.81292724609375,57.056617513429984,504.4508060393713
11,1,1,643.82306 1797.9215,91.727294921875 546.6417236328125,53.30068939898029,394.4325958045134
12,1,1,745.2263 1705.5559,103.83868408203125 420.6156005859375,50.06140694040815,308.1493631639008
13,1,1,-82.86771 1229.4011,-272.5281219482422 563.3590087890625,66.17668650388673,601.1107387142522
14,1,1,481.30362 1482.1104,-163.92495727539062 492.69989013671875,63.83523314263168,493.0924430125656
15,1,1,-1074.1962 1146.5802,-487.47064208984375 275.74908447265625,55.14063679048705,496.34538393229354
16,1,1,-341.53278 1173.1072,-294.0630645751953 496.8153076171875,60.075338486461995,564.1500494873442
17,1,1,637.7694 1715.1128,13.32232666015625 501.5390625,55.23279018868756,402.9836614926854
18,1,1,388.02975 1550.679,-218.12899780273438 614.1784057617188,65.49715891717041,595.6165199008817
19,1,1,689.9696 1712.7964,77.39703369140625 450.5697021484375,53.605515124479496,345.1813039044912
20,1,1,255.35204 1409.8705,-225.3580780029297 582.9998779296875,69.18947927604637,591.4569848712722
21,1,1,-1236.5782 1097.3794,-686.6062622070312 307.889892578125,57.87068443381108,608.587101534419
22,1,1,567.71185 1533.7957,-109.51190185546875 470.784423828125,59.27257172805943,446.55451425130303
23,1,1,649.18976 1750.2721,9.46856689453125 537.0440673828125,54.835142719637986,422.1554294011284
24,1,1,300.45288 1378.3519,-188.9659423828125 522.2546997070312,67.8001804000398,535.1407173578707
25,1,1,390.30087 1492.8289,-177.03976440429688 538.0706176757812,67.56830595043272,541.8794393488922
26,1,1,405.56317 1434.0013,-185.42889404296875 532.78076171875,67.24994013156349,536.1232667524422
27,1,1,-384.68518 1142.6078,-339.5131301879883 494.09490966796875,60.35609018950339,580.2200680741198
28,1,1,351.62506 1352.7914,-152.14199829101562 441.83428955078125,61.30741580677919,454.32270950290086
29,1,1,-1023.27606 1098.1083,-423.96746826171875 306.58392333984375,56.79458008773464,492.22568627315417
30,1,1,321.29633 1434.9858,-204.8861083984375 588.3816528320312,69.16657402309144,585.3184333785699
31,1,1,-1221.6104 1075.412,-687.710693359375 299.85650634765625,57.81583901405136,604.4907343855383
32,1,1,-811.6791 995.5629,-249.12646484375 472.7459716796875,54.564129201866024,518.1929486342394
33,1,1,-1191.7712 1137.6621,-680.8921508789062 300.15576171875,57.18033195399181,596.1605026367433
34,1,1,-1115.75 1004.54584,-439.963623046875 312.2994384765625,54.73219657278977,498.88362027705074
35,1,1,460.4355 1582.8529,-128.24249267578125 548.685791015625,62.99482536736677,515.8835434122549
36,1,1,397.5414 1388.4816,-127.32040405273438 489.03253173828125,64.06327551406923,477.45510075649474
37,1,1,-685.68286 1048.554,-219.02432250976562 495.25189208984375,55.58657193259692,523.8993042287173
38,1,1,680.24036 1747.3751,89.57757568359375 528.3280029296875,54.297158998091895,385.29439024337813
39,1,1,-1213.6241 1039.0538,-647.4196166992188 306.634765625,56.856884497356816,589.1649520031848
40,1,1,-306.85434 1180.2594,-286.49169540405273 504.74609375,59.83522745868232,564.4309552639231
41,1,1,-372.25488 1167.8447,-291.66392517089844 525.927734375,59.12336679799109,577.406885222439
42,1,1,477.38846 1423.8499,-106.26895141601562 450.95477294921875,62.07236414791508,443.239534431984
43,1,1,511.02972 1441.7874,-186.8228759765625 473.52276611328125,61.70316570788884,485.22950834978485
44,1,1,-963.6427 1096.6473,-398.18896484375 347.3468017578125,56.81687607384587,505.39491021474703
45,1,1,-128.03589 1224.0695,-266.83587646484375 530.1942138671875,66.44307271692726,582.4483285438278
46,1,1,-200.04665 1189.034,-261.2821273803711 536.24560546875,64.68727779760866,582.7391548647553
47,1,1,226.56401 1376.4185,-201.6602325439453 603.2258911132812,69.15144088710593,593.6433628230031
48,1,1,296.59427 1444.7463,-233.70797729492188 611.6708374023438,69.16579905893923,610.0467228201067
49,1,1,359.89465 1490.2712,-201.3280029296875 567.2465209960938,68.21784741668031,569.6105528598454
50,1,1,-768.8476 1041.7166,-282.37322998046875 461.16180419921875,55.71743593433549,528.0892170646669
51,1,1,365.1909 1326.2418,-102.17999267578125 399.8743896484375,59.01389607423418,405.2149981483923
52,1,1,255.71977 1386.1066,-207.10670471191406 569.3269653320312,69.57898796602905,577.5629006508746
53,1,1,-1062.6464 1058.2576,-425.537353515625 340.25982666015625,56.66160177162182,508.17036853472644
54,1,1,-1116.8282 1082.3038,-503.6636962890625 296.29986572265625,58.39535848380858,526.2345744493673
55,1,1,-49.591385 1240.4943,-268.0204772949219 558.13916015625,67.25458119008857,598.5968202704398
56,1,1,667.66254 1731.9547,34.74139404296875 470.749755859375,54.13841011819911,373.71156546858407
57,1,1,-780.8513 984.67444,-301.57318115234375 444.437744140625,53.99915556626893,521.3300858087293
58,1,1,101.09339 1289.1382,-235.10625457763672 572.4806518554688,68.39482458031881,593.5285006016692
59,1,1,-928.6389 1144.6632,-410.34747314453125 335.968505859375,53.18815346953924,493.572178636997
60,1,1,374.359 1505.6749,-192.8382568359375 585.2447509765625,67.95065627763056,575.2042392938669
61,1,1,-851.1005 1040.0964,-296.92376708984375 469.208984375,56.26100540412545,537.6590954467586
62,1,1,-39.371098 1210.28,-287.3508949279785 559.2205200195312,66.5827089161029,604.7081040508108
63,1,1,352.52884 1412.6228,-182.05764770507812 535.2630615234375,68.00541311500008,538.8877753756288
64,1,1,618.3098 1631.9852,-31.24896240234375 476.427978515625,56.960314135518516,411.1122723327991
65,1,1,694.5878 1735.8826,42.394287109375 479.150390625,54.163409834288366,375.535624517549
66,1,1,-10.204814 1290.9625,-243.48098278045654 531.2116088867188,63.767719455465695,560.3708412811296
67,1,1,-1065.0474 1033.7773,-415.0040283203125 288.70904541015625,55.849005602932074,474.6137938133263
68,1,1,-1023.3272 1118.4734,-399.12677001953125 295.7431640625,56.33128821273138,476.5123510619485
