ID,GROUP,CC,EMBEDDING_POS,VELOCITY_VECTOR,FINE_PCA,COARSE_PCA
from 10.0 to 20.0 100.0
NumNodes: 240
0,1,0,-407.861 -1295.1996,-102.11709594726562 -484.65240478515625,-6.454659315651324,-441.79454319440794
1,1,0,-603.2855 -1181.6804,-113.69064331054688 -478.9178466796875,-6.652765465904211,-451.8902167722157
2,1,0,-704.1893 -223.52725,-283.4251708984375 94.07485961914062,-3.124267627808805,-128.99053359060076
3,1,0,-503.63754 -1291.2084,-88.62518310546875 -483.6595458984375,-6.639277078049486,-438.8278984426575
4,1,0,-308.504 -1001.1892,-228.86734008789062 -178.4560546875,-5.787181308445161,-298.89347246475285
5,1,0,-794.6414 -304.14557,-253.06207275390625 23.008087158203125,-3.4011643512423175,-162.96444454266287
6,1,0,-690.71265 -514.4406,-294.9429626464844 -9.188140869140625,-3.7072646821526987,-211.32502267174453
7,1,0,-248.81041 -817.0355,-251.2389030456543 -151.0826416015625,-5.1367328397418035,-289.77975623561355
8,1,0,-702.05 -1175.5939,-207.01937866210938 -544.0599365234375,-6.401727021136885,-550.0335411119321
9,1,0,-696.7447 -1219.928,-157.28411865234375 -552.3818969726562,-6.560344544309535,-528.9385095435542
10,1,0,-717.1211 -307.93475,-274.279296875 33.847869873046875,-3.433787400059513,-166.8204003291153
11,1,0,-682.70166 -1144.0211,-227.16046142578125 -540.6651611328125,-6.41101350078417,-559.3189882270823
12,1,0,-639.4679 -1313.2749,-214.04666137695312 -544.848388671875,-6.15414193608328,-550.5693885228392
13,1,0,-326.7292 -786.5427,-320.30889320373535 -136.15399169921875,-5.391902883092548,-320.6891270580535
14,1,0,-369.26077 -1201.6418,-91.999755859375 -329.767578125,-6.35468377923107,-329.1346769141502
15,1,0,-900.73834 -413.3664,-295.7242431640625 15.585845947265625,-3.198094170845277,-192.24417333192986
16,1,0,-509.29688 -692.29065,-361.61756896972656 -36.3663330078125,-4.453033964359935,-273.52777814075057
17,1,0,-577.6625 -1216.8553,-127.82382202148438 -492.258544921875,-6.786833188473411,-469.69602854273444
18,1,0,-476.06348 -1117.2596,-124.61334228515625 -320.83880615234375,-6.10605215579732,-337.90177848580686
19,1,0,-576.26587 -1289.9948,-107.4078369140625 -553.5010375976562,-6.76722135867421,-498.7562115918293
20,1,0,-362.85364 -984.42334,-198.1763153076172 -192.53564453125,-5.92379291603274,-289.16045456021186
21,1,0,-897.2096 -263.8112,-385.01123046875 60.02154541015625,-3.2419647939049363,-214.08584001236986
22,1,0,-403.6822 -1264.5143,-73.77041625976562 -410.789306640625,-6.424777044817357,-374.5107408042425
23,1,0,-621.7486 -1236.2252,-102.46307373046875 -502.0906982421875,-6.750404342457599,-462.78222945199514
24,1,0,-313.3163 -1088.5299,-167.5615234375 -244.951416015625,-6.081831921159501,-309.9931450334373
25,1,0,-413.6644 -1104.5585,-128.635498046875 -289.61224365234375,-6.221762672457686,-318.35697103324355
26,1,0,-370.37894 -1148.8658,-119.69485473632812 -282.7744140625,-6.3044404111701065,-310.0124192964529
27,1,0,-480.0976 -658.0015,-330.6941375732422 -49.79388427734375,-4.521579546660005,-264.92778602322716
28,1,0,-298.08334 -1119.5447,-238.72116088867188 -293.08721923828125,-6.104911808989078,-385.02786333311246
29,1,0,-778.3397 -401.14917,-265.14215087890625 -6.648681640625,-3.5013939255617843,-190.179835679618
30,1,0,-380.23233 -1058.6262,-175.09725952148438 -245.29638671875,-6.133378249017976,-313.2853266249689
31,1,0,-911.05493 -285.64017,-322.0826416015625 -5.609283447265625,-3.2421076227795833,-222.61320214330703
32,1,0,-541.1785 -386.80496,-223.74905395507812 -101.21051025390625,-3.7744950966215955,-234.9355137600984
33,1,0,-929.9162 -339.0782,-348.5853271484375 -22.62359619140625,-3.2765321393935603,-249.73736653835408
34,1,0,-757.4497 -192.33908,-240.99578857421875 103.71145629882812,-3.061681917354906,-97.73846133323028
35,1,0,-499.66516 -1159.4286,-132.37063598632812 -404.1011962890625,-6.479546919180934,-403.1676821358577
36,1,0,-314.29 -1200.0513,-151.93955993652344 -381.65411376953125,-6.238511410202974,-397.4256653349139
37,1,0,-523.2483 -496.44543,-255.95687866210938 -103.08889770507812,-4.033835179675824,-255.91184979192832
38,1,0,-611.321 -1297.4147,-112.43252563476562 -540.469482421875,-6.699620105722526,-493.86191471488195
39,1,0,-849.982 -236.33522,-326.17938232421875 55.04341125488281,-3.189319521667967,-181.9011598580361
40,1,0,-494.3643 -679.69794,-362.6449279785156 6.4056396484375,-4.423750346915618,-245.03798630245
41,1,0,-561.41895 -623.33746,-320.25709533691406 -62.79278564453125,-4.212855531989464,-265.7155817618354
42,1,0,-304.84552 -1272.4103,-96.44477844238281 -388.033935546875,-6.124028684403823,-371.048652425341
43,1,0,-326.44125 -1255.9073,-92.89839172363281 -454.04583740234375,-6.272140016860799,-413.88496555790863
44,1,0,-749.75256 -400.63583,-269.5815124511719 -12.114837646484375,-3.542230584383741,-196.7532287912967
45,1,0,-393.00607 -771.4954,-357.5002136230469 -85.97650146484375,-5.1987721241567355,-307.7117969461756
46,1,0,-414.65912 -720.2127,-324.19641876220703 -75.7613525390625,-5.013662198145273,-280.76465625275864
47,1,0,-341.6279 -1008.93085,-195.1129913330078 -251.70477294921875,-5.99173034338784,-327.70163633516967
48,1,0,-371.9828 -1020.4503,-156.3200225830078 -240.72479248046875,-5.87338715165353,-297.71989887454504
49,1,0,-411.5421 -1073.7981,-120.4560546875 -301.0877685546875,-6.160889334707876,-320.9245494026158
50,1,0,-619.1852 -417.1942,-256.2129821777344 -60.183380126953125,-3.818117726173495,-224.97172048051976
51,1,0,-272.62152 -1172.0192,-181.9276885986328 -422.78515625,-5.928674701211733,-440.3329375871669
52,1,0,-345.9137 -955.6192,-197.45802307128906 -171.44183349609375,-5.884244117002784,-274.29187673046397
53,1,0,-731.34625 -315.43723,-262.7791748046875 -5.4969482421875,-3.4551544858277983,-187.0059201630683
54,1,0,-826.3199 -329.97495,-284.7288818359375 4.717315673828125,-3.4218060541362236,-194.22999937682428
55,1,0,-310.03433 -788.9124,-270.68346405029297 -122.9261474609375,-5.352045766986969,-282.9318544675897
56,1,0,-624.16266 -1272.2988,-109.92547607421875 -553.2090454101562,-6.789739398985655,-501.39316118599857
57,1,0,-491.76804 -509.74597,-235.41848754882812 -154.68173217773438,-4.038832432295465,-279.3948609000639
58,1,0,-295.88937 -904.47345,-217.7963409423828 -171.9566650390625,-5.701619210768645,-286.03955028287623
59,1,0,-809.01074 -452.44424,-278.9970703125 -3.4674072265625,-3.407067103055166,-195.97196597274478
60,1,0,-402.28424 -1098.8887,-114.67727661132812 -312.74884033203125,-6.192199180653552,-325.6453317915519
61,1,0,-573.16125 -414.29977,-214.17919921875 -99.25885009765625,-3.7795067261696325,-227.92790451778308
62,1,0,-280.39072 -774.85254,-298.66751861572266 -135.15802001953125,-5.1831442486407635,-306.6048260368033
63,1,0,-327.16788 -1079.1469,-156.3185577392578 -221.54522705078125,-6.088219352303965,-287.59433030083443
64,1,0,-511.1275 -1261.645,-117.98654174804688 -509.52410888671875,-6.785671954394365,-473.60161954612715
65,1,0,-613.2062 -1210.1577,-189.23056030273438 -560.0427856445312,-6.84274116431942,-551.9347282164786
66,1,0,-415.30728 -824.407,-420.77165603637695 -22.94775390625,-4.8333683938828305,-299.3767900814172
67,1,0,-751.83044 -278.7504,-262.74853515625 6.829498291015625,-3.3510155631498626,-177.83918942643993
68,1,0,-816.6702 -386.38,-274.0406494140625 1.632232666015625,-3.4615022256990047,-190.67807048817076
69,1,0,-593.4874 -387.37415,-251.95718383789062 -53.85919189453125,-3.758864325637741,-218.29387500574828
70,1,0,-529.21313 -1142.3356,-117.6446533203125 -398.766357421875,-6.2962953795984555,-390.87484146222613
71,1,0,-694.084 -470.41324,-277.51446533203125 -24.27777099609375,-3.7074628801231286,-211.47192026047432
72,1,0,-422.6887 -1257.1958,-125.42050170898438 -404.95928955078125,-6.493165042041713,-400.81564907934285
73,1,0,-774.9063 -478.31342,-298.6190185546875 9.65264892578125,-3.4623099523240426,-198.85781600352172
74,1,0,-531.1388 -1318.4841,-92.54165649414062 -497.25665283203125,-6.590946676087799,-451.60748122329346
75,1,0,-478.47186 -497.34048,-239.50827026367188 -112.84469604492188,-4.0118317342701735,-253.28875820697317
76,1,0,-633.784 -361.1875,-226.1580810546875 -63.8521728515625,-3.6455440763969436,-208.3009003580148
77,1,0,-551.07526 -402.34827,-236.24557495117188 -91.36993408203125,-3.775035067798491,-235.45759444786913
78,1,0,-311.7051 -900.1916,-223.00273895263672 -159.16204833984375,-5.707420668467984,-280.53931859765174
79,1,0,-295.73843 -734.4744,-307.5406913757324 -136.99444580078125,-5.017731580578788,-312.59590335655923
80,1,0,-615.0306 -593.9231,-328.96417236328125 -23.2625732421875,-3.966737364989009,-242.50633780941487
81,1,0,-486.28476 -1170.224,-97.86129760742188 -380.90008544921875,-6.491563082903312,-367.7180360062368
82,1,0,-317.48175 -914.28925,-249.216064453125 -144.59881591796875,-5.7508179927240075,-285.7743194934074
83,1,0,-318.1247 -843.8281,-255.84193420410156 -144.469970703125,-5.556860823625269,-289.580792669468
84,1,0,-595.7269 -1224.4657,-108.04708862304688 -493.460693359375,-6.765973813598188,-459.46470974023777
85,1,0,-563.58044 -480.87296,-232.53530883789062 -119.75003051757812,-3.9529281381351407,-253.0941682345699
86,1,0,-334.35626 -1161.6527,-135.96624755859375 -296.721435546875,-6.313431741908337,-329.3927828416761
87,1,0,-382.9543 -1130.4806,-129.8558807373047 -316.712158203125,-6.335901917123741,-338.2462798215489
88,1,0,-535.496 -647.57837,-333.81602478027344 -50.631103515625,-4.327588792065707,-266.0672786207224
89,1,0,-348.4735 -838.8279,-285.1047592163086 -101.21478271484375,-5.5020043487287715,-276.6177686554453
90,1,0,-842.668 -300.73126,-279.87384033203125 48.436614990234375,-3.324731860147722,-161.28319170759409
91,1,0,-871.8544 -301.62982,-351.58575439453125 -18.1087646484375,-3.347510856281162,-248.0699630595594
92,1,0,-343.09323 -855.1088,-289.0089874267578 -129.40533447265625,-5.574711492057077,-298.0832404587211
93,1,0,-377.5869 -1224.0221,-123.77308654785156 -377.352783203125,-6.412488765204996,-379.56550915427107
94,1,0,-659.893 -1207.153,-154.44821166992188 -514.2396850585938,-6.613573940957899,-500.667900842916
95,1,0,-877.03955 -352.7006,-289.350341796875 16.43475341796875,-3.3358512272944267,-189.0748251915893
96,1,0,-342.21918 -912.9456,-335.7879886627197 -129.365966796875,-5.650133890254185,-325.69863041109704
97,1,0,-420.7735 -753.1594,-327.25 -96.8404541015625,-5.045569864668897,-297.14636273102485
98,1,0,-847.7337 -207.0565,-255.54266357421875 34.216583251953125,-3.099918497095204,-154.44382809262655
99,1,0,-554.06067 -573.44556,-287.6865539550781 -64.85403442382812,-4.181306217774043,-248.31071240050363
100,1,0,-661.98926 -315.75006,-242.24420166015625 -28.96197509765625,-3.5034184390297534,-191.85361939383867
101,1,0,-424.04535 -1191.7708,-101.96981811523438 -374.7691650390625,-6.478654871292787,-364.77583882688754
102,1,0,-510.84583 -461.24478,-221.292724609375 -171.29693603515625,-3.93556233704095,-281.9155049317905
103,1,0,-325.2195 -816.0706,-312.8018226623535 -125.20806884765625,-5.4804471016949385,-309.13473032203217
104,1,0,-802.94794 -416.8054,-261.8116455078125 5.119903564453125,-3.4700190981547916,-181.16179561900134
105,1,0,-304.45544 -948.2,-215.45468139648438 -132.93927001953125,-5.804326193848702,-258.5893336054484
106,1,0,-688.142 -484.13467,-285.2444152832031 -1.759796142578125,-3.7433758041857743,-200.97841185824862
107,1,0,-319.0541 -993.2182,-207.3526611328125 -191.60955810546875,-5.9478439206192855,-294.3987317914031
108,1,0,-337.05368 -1043.0808,-171.0513153076172 -223.275390625,-6.048720525591709,-294.8875277194696
109,1,0,-440.9858 -1081.3152,-144.56219482421875 -256.07354736328125,-6.061194259266135,-304.0479372201128
110,1,0,-391.89496 -661.8513,-304.2353057861328 -87.11810302734375,-4.969240126571998,-277.49727460836
111,1,0,-749.32654 -237.91887,-248.47659301757812 -5.31396484375,-3.2306329708387933,-176.7894219443066
112,1,0,-684.8302 -401.1228,-262.11151123046875 -21.089019775390625,-3.6899283131671843,-199.87662027474602
113,1,0,-547.97864 -1249.507,-86.90109252929688 -468.88861083984375,-6.762332053032732,-428.48813317884515
114,1,0,-746.75323 -366.0296,-260.8146667480469 -6.7100830078125,-3.5281371916779705,-188.06636924242125
115,1,0,-457.7726 -1229.6252,-101.09124755859375 -407.7701416015625,-6.593117202740197,-389.616787352243
116,1,0,-331.24506 -839.80884,-301.7420196533203 -121.84857177734375,-5.544833688090094,-300.24347035060737
117,1,0,-600.11414 -1317.5165,-93.04556274414062 -523.03857421875,-6.675628819962404,-470.78797686878596
118,1,0,-777.4366 -216.81546,-260.255859375 24.981246948242188,-3.165453552245976,-162.47904649545083
119,1,0,-385.32803 -682.9413,-305.53649139404297 -95.72747802734375,-5.024613981711846,-284.0542718657021
120,2,1,992.1468 -187.39801,384.56427001953125 -31.8935546875,4.874226678642367,212.53091449846355
121,2,1,946.5075 -347.96683,402.5137939453125 94.89334106445312,5.202344412622428,313.4679778269224
122,2,1,120.449554 630.1809,24.690048217773438 310.58306884765625,5.058303512420763,244.52976557029342
123,2,1,1034.1372 -298.97968,470.4658203125 -17.412322998046875,5.111087063738104,275.094309687919
124,2,1,797.38745 24.571148,286.61798095703125 123.63402938842773,4.938988074819246,262.26166280821104
125,2,1,180.01015 745.0422,43.193634033203125 451.0108947753906,5.533139226693861,356.1720311971486
126,2,1,408.8058 593.7785,160.49827575683594 436.0979309082031,5.40409780314973,418.3681567252237
127,2,1,665.19305 140.6484,71.39501953125 124.6427230834961,4.6235104961808675,130.84551943452675
128,2,1,928.61566 -395.3105,381.0494384765625 83.71438598632812,5.09022846074426,293.8769065585822
129,2,1,945.2705 -387.3453,489.11138916015625 55.803253173828125,5.163821283127457,337.33650659666256
130,2,1,185.13977 667.8115,91.79315948486328 394.9234619140625,5.510030736219058,344.38858060102285
131,2,1,987.2097 -445.98337,464.86126708984375 42.8321533203125,5.018025901921712,315.16363021507823
132,2,1,1126.6317 -325.91287,474.6658935546875 -1.130523681640625,4.68361038510601,286.0667037817771
133,2,1,631.24677 180.23251,136.32833862304688 137.98952865600586,4.797090350341742,181.2179007898365
134,2,1,947.1639 -173.23117,411.50762939453125 -10.990951538085938,4.982925555947794,242.49716053094434
135,2,1,310.3335 746.1512,83.38833618164062 590.8345794677734,5.215644025241423,476.0914840801652
