ID,GROUP,CC,EMBEDDING_POS,VELOCITY_VECTOR,FINE_PCA,COARSE_PCA
from 10.0 to 20.0 87.57775564076647
NumNodes: 210
0,1,2,1566.2914 1412.0123,383.804931640625 463.505859375,64.5778913493973,525.1031027519873
1,1,2,1600.7826 1392.3202,380.765625 482.4410400390625,64.05840668001852,528.0791724072583
2,1,2,1646.1228 1463.0337,380.897705078125 483.126220703125,65.77874597040274,531.5524380180311
3,1,2,1335.9949 1642.9232,354.70782470703125 419.7225341796875,66.02025221076919,487.1216717577202
4,1,2,1377.0288 1688.107,351.3717041015625 435.3052978515625,61.99748619702562,480.21125826435855
5,1,2,1180.3947 1853.1603,375.4234619140625 401.07177734375,67.8557540597468,496.14838180113884
6,1,2,1087.5667 1774.4437,363.83673095703125 405.9793701171875,68.78649751955032,491.7711359753595
7,1,2,1411.0067 1600.0114,335.7640380859375 455.4947509765625,65.73583986369806,486.84681763132176
8,1,2,1044.0211 1796.8518,369.1790771484375 405.733642578125,67.84439510409854,493.9213268635342
9,1,2,1374.2117 1532.0035,365.7774658203125 423.908935546875,61.44621414958803,488.050567039366
10,1,2,892.2888 2181.8306,392.023193359375 431.70654296875,44.05014208777406,503.06695486533147
11,1,2,1449.0719 1574.5339,351.212158203125 428.4110107421875,65.37738688545227,489.46120278487217
12,1,2,1245.2816 1654.0653,351.29632568359375 420.51708984375,66.06133930730476,483.59575079794
13,1,2,1095.3936 1903.3699,368.22406005859375 412.88818359375,67.71052153655326,496.94593561767397
14,1,2,1032.994 1937.1207,399.67645263671875 402.4486083984375,65.79777014078944,513.5909960202242
15,1,2,1699.5538 1468.5326,418.300048828125 523.6963500976562,64.6061926520339,562.2744646604608
16,1,2,1464.2772 1615.3231,374.7833251953125 402.04638671875,63.600327376900026,492.05472492506885
17,1,2,1600.307 1453.1844,368.0322265625 481.215576171875,66.68993747690828,525.7212190627745
18,1,2,1473.9482 1554.0072,362.8692626953125 427.2193603515625,66.06236198997388,498.5396295603949
19,1,2,1638.3553 1348.246,397.82958984375 484.52490234375,61.76223534967642,534.5595437649475
20,1,2,1060.1027 1882.171,384.04949951171875 400.3172607421875,68.51664647658818,505.3292690405849
21,1,2,1122.1018 1800.9628,378.969970703125 398.4039306640625,69.8449165069661,501.4015924301523
22,1,2,1055.2537 1825.9131,365.34637451171875 413.8712158203125,68.50902990366569,495.5710637806362
23,1,2,973.9028 1821.7672,363.461181640625 405.9801025390625,63.58890799198279,481.9177938321817
24,1,2,1140.0385 1729.7013,354.5751953125 401.1903076171875,68.119583364831,482.29363054480825
25,1,2,1124.816 1898.6233,368.8690185546875 419.218505859375,67.54483051797219,497.9349374631687
26,1,2,1178.0897 1663.3549,347.39697265625 408.3494873046875,64.953922711126,473.65699829037527
27,1,2,1513.2574 1480.1486,394.467529296875 439.2723388671875,66.77431327928024,526.064882661896
28,1,2,1567.8616 1523.117,363.355224609375 482.1744384765625,66.68065184689347,518.7031459973362
29,1,2,1245.1216 1687.1279,360.2996826171875 412.1146240234375,67.63583162283882,489.4968409905527
30,1,2,1356.5295 1648.2418,367.1314697265625 412.1461181640625,65.62199353462402,492.1010177572284
31,1,2,1152.436 1842.6124,349.2215576171875 407.701416015625,67.9719472081734,482.24016444212134
32,1,2,1588.003 1495.7736,379.95654296875 485.158203125,66.9181122408905,531.8620761066178
33,1,2,1673.6312 1456.2225,380.250732421875 493.04248046875,65.0930011367426,532.3256100058192
34,1,2,1509.5729 1505.5233,372.180419921875 449.230224609375,66.59769455784823,513.7534402303947
35,1,2,1681.7515 1497.2272,376.3712158203125 507.63848876953125,64.27167405893479,531.5807781323385
36,1,2,1621.0222 1445.707,399.6126708984375 487.955078125,66.60488387488817,547.247088072708
37,1,2,914.4313 2125.0737,445.7301330566406 396.5916748046875,47.529328151603664,530.7229683234232
38,1,2,1149.8154 1801.8604,363.28497314453125 403.7017822265625,69.51739793235389,492.17415612178985
39,1,2,1148.6838 1761.7284,360.699462890625 406.7493896484375,69.0425565721798,489.90417583283954
40,1,2,1104.4386 1942.1885,371.97589111328125 420.78515625,65.96958420742479,498.6537614729352
41,1,2,1667.3069 1363.643,400.711669921875 503.06365966796875,61.85016960144293,541.2266551999342
42,1,2,1486.1302 1569.3972,362.9462890625 452.393798828125,66.1550967306391,505.3238122898083
43,1,2,1389.8306 1570.5708,360.0484619140625 425.554443359375,65.74610970821524,494.00554015092564
44,1,2,1270.3047 1745.9581,371.39263916015625 395.6988525390625,66.3798113140507,489.6823310124381
45,1,2,944.73456 2142.175,407.54400634765625 474.1690673828125,47.48709660029863,527.4429844896749
46,1,2,1015.28485 1852.22,375.14080810546875 399.668701171875,66.95422032328108,495.6035749266762
47,1,2,1073.1661 1823.4307,370.49652099609375 400.3323974609375,68.76162036101782,495.72919117803633
48,1,2,995.1909 1911.5698,384.219482421875 412.4393310546875,65.24480615602725,506.21500110381464
49,1,2,965.10297 2078.5571,403.11358642578125 426.033447265625,52.26831517386863,517.5797996256124
50,1,2,1233.4355 1753.3617,361.45867919921875 401.533447265625,67.64185970853522,486.92698730905767
51,1,2,1009.84784 1996.7152,366.1407470703125 430.879638671875,61.45204555683227,500.1704947586775
52,1,2,1211.4713 1712.3616,357.5938720703125 403.204345703125,67.72703747285586,484.79151354380343
53,1,2,1536.774 1507.4633,367.0653076171875 462.430908203125,67.14313603295618,516.2209873267198
54,1,2,1021.3696 1816.9397,381.4080810546875 390.49267578125,67.16111154869529,496.4901470004674
55,1,2,1641.8171 1395.9131,368.5384521484375 493.6051025390625,63.82576056847846,523.8000456977086
56,1,2,1304.1622 1575.5552,336.844482421875 424.2982177734375,61.124325785725915,467.40555761234293
57,1,2,1609.1051 1522.8556,365.39453125 476.2723388671875,65.57653839619022,517.3663664519017
58,1,2,1650.0017 1496.7101,377.7962646484375 492.08270263671875,65.32148996247842,530.3416288707502
59,1,2,1269.534 1614.1753,354.2080078125 413.50341796875,63.18324898931053,478.06481855318964
60,1,2,1186.7631 1706.9261,345.576171875 410.6944580078125,67.32894142369597,477.95487947455194
61,1,2,1469.2994 1508.1097,368.6630859375 438.8538818359375,65.72275917889795,505.659832120673
62,1,2,1045.023 1971.4363,375.5040283203125 412.988525390625,63.89506877948684,498.8137636537885
63,1,2,1083.855 1859.4681,380.69500732421875 405.297119140625,69.24840532800741,505.5427388647638
64,1,2,1612.8596 1426.9004,361.4193115234375 500.52069091796875,65.86167260296462,525.518300542138
65,1,2,1118.1948 1740.9413,350.73876953125 421.7406005859375,68.43331830582754,486.3454479851939
66,1,2,1080.1226 1877.1372,374.14166259765625 406.2440185546875,68.84786709088358,501.3241913302812
67,1,2,1171.6821 1783.8015,382.9598388671875 400.0263671875,69.2820083092862,502.6149338452138
68,1,2,1160.2667 1858.5865,379.34698486328125 414.8397216796875,68.25829474058446,503.18845167577103
69,1,2,907.6273 2082.3367,419.4668273925781 435.2421875,47.988245008922824,524.932974717893
70,2,3,-2657.9792 90.4741,-591.38525390625 17.899169921875,-68.91892591063822,-519.778657776614
71,2,3,-2190.8254 -414.33917,-616.5894775390625 -49.958587646484375,-74.38359719091598,-554.3772754053784
72,2,3,-2245.2427 -317.85522,-595.4078369140625 -22.7039794921875,-69.79538614916609,-526.5012807457332
73,2,3,-2767.2617 114.98719,-655.819091796875 -10.695533752441406,-65.36608572473897,-569.8195069738417
74,2,3,-2625.0962 -25.612904,-578.712890625 14.453941345214844,-67.25949309064819,-506.4686558798252
75,2,3,-2179.0085 -446.2766,-583.4166259765625 -28.030548095703125,-74.40482719036835,-528.3648749295921
76,2,3,-2086.503 -614.9667,-575.262451171875 -24.370849609375,-70.14473658562082,-515.740335546493
77,2,3,-2118.2551 -425.32584,-586.8992919921875 -31.77362060546875,-73.97519392960895,-530.272234782343
78,2,3,-2209.882 -344.32004,-590.30712890625 -36.669189453125,-71.2286414351193,-528.9163114112996
79,2,3,-2656.647 9.08607,-619.4847412109375 27.28584384918213,-68.67506247810347,-531.6508685502948
80,2,3,-2600.2617 139.43965,-595.546142578125 8.443344116210938,-65.44393603918218,-517.0983594986634
81,2,3,-2330.9219 -197.86374,-581.02197265625 -0.2928009033203125,-63.534939966259024,-505.93815137342574
82,2,3,-2484.8208 -148.8839,-593.67919921875 12.528213500976562,-63.23434442864035,-507.2640935986458
83,2,3,-2103.8677 -485.28815,-580.1220703125 -30.072174072265625,-73.77170693787252,-525.6643396256208
84,2,3,-2465.2126 -39.36152,-584.659423828125 15.094413757324219,-60.95148549297921,-501.62378086554565
85,2,3,-2012.4192 -570.29224,-577.9766845703125 -25.218017578125,-65.42753536562412,-506.8938701454657
86,2,3,-2627.2126 114.49287,-596.7139892578125 23.937782287597656,-67.71046136481348,-519.2501245391792
87,2,3,-2139.3604 -499.33835,-582.4898681640625 -33.99432373046875,-74.33160324280047,-529.0801969364409
88,2,3,-2443.2144 -90.15946,-584.466064453125 8.832756042480469,-60.10260548898411,-500.89781347762175
89,2,3,-2720.8313 96.387184,-646.44189453125 -6.5397491455078125,-68.64539342567979,-565.1250331333204
90,2,3,-2083.2031 -650.2827,-573.23828125 -23.83233642578125,-68.28725552894966,-510.99466889777693
91,2,3,-2251.4912 -360.40887,-559.2833251953125 -34.165069580078125,-71.55076574419473,-510.9658274624404
92,2,3,-2634.43 42.862423,-583.635986328125 14.326055526733398,-69.20627405641808,-515.5224942803308
93,2,3,-2033.2537 -683.62195,-579.1282958984375 -21.28521728515625,-63.959232796977,-506.19326558884393
94,2,3,-2193.063 -449.23337,-587.2587890625 -24.13922119140625,-74.42420372806129,-529.7613993895578
95,2,3,-2282.3696 -320.77075,-594.3896484375 -16.336517333984375,-70.98080475730599,-528.6603053716035
96,2,3,-2358.9954 -207.88025,-592.2891845703125 6.05023193359375,-64.25039037953697,-513.2526551300632
97,2,3,-2112.9514 -554.13477,-579.43603515625 -30.91790771484375,-72.6401660443785,-523.474866055697
98,2,3,-2738.818 308.65927,-717.4139404296875 -9.984222412109375,-48.75526063615352,-589.8135716228571
99,2,3,-2073.9001 -709.16473,-565.7381591796875 -25.1356201171875,-64.3978993138118,-499.2934535163174
100,2,3,-2177.0718 -428.54007,-587.650146484375 -23.058624267578125,-74.41436180348275,-529.8372877878485
101,2,3,-2827.9722 166.27917,-739.50390625 -47.05145263671875,-58.65266717538846,-621.8185807768111
102,2,3,-2169.3867 -401.70245,-602.966552734375 -21.4884033203125,-74.15947906961536,-538.097481952598
103,2,3,-2693.4458 36.3772,-593.025390625 6.186382293701172,-69.04465660237051,-523.827517220436
104,2,3,-2637.603 -43.734196,-589.66162109375 21.861560821533203,-66.83266010384884,-510.3884239297503
105,2,3,-2560.24 -84.735374,-585.0230712890625 29.80535125732422,-64.35512861087427,-499.7235197116123
106,2,3,-2557.6985 48.40497,-577.0596923828125 17.00249481201172,-65.97076199004854,-506.11093607925943
107,2,3,-2128.4055 -661.8418,-591.8594970703125 -23.77008056640625,-67.90556222877198,-521.4620325371233
108,2,3,-2107.2654 -663.6251,-539.4364013671875 -32.68603515625,-67.49456229886793,-490.93528537653026
109,2,3,-2139.0435 -583.7287,-579.0069580078125 -26.6708984375,-71.45298669007744,-519.7542908139468
110,2,3,-2210.4617 -319.96237,-542.7301025390625 -9.177215576171875,-68.13333439452,-486.10636363811636
111,2,3,-2718.3306 121.8357,-625.37158203125 -2.1234893798828125,-67.8046902340006,-550.062152299279
