ID,GROUP,CC,EMBEDDING_POS,VELOCITY_VECTOR,FINE_PCA,COARSE_PCA
from 20.0 to 40.0 100.0
NumNodes: 60
0,1,1,778.7425 969.1978,103.08245849609375 49.59033203125,7.099102238207619,58.27030951066415
1,1,1,814.51245 992.40125,119.53509521484375 31.9239501953125,7.3732764726639335,61.77784589502621
2,1,1,837.96295 1020.9851,92.650146484375 72.1331787109375,7.20414672102806,60.22679473907256
3,1,1,815.59625 905.81134,137.91473388671875 30.50775146484375,7.78263910781617,66.6420976601617
4,1,1,850.5326 956.6808,122.0811767578125 83.21490478515625,8.228994818755567,74.12818539938067
5,1,1,890.0213 989.47766,122.037353515625 90.72930908203125,8.075391268852865,74.5397797525082
6,1,1,867.9989 875.526,129.3671875 65.98681640625,8.661221550123633,76.53470308713176
7,1,1,887.7623 912.2335,118.9691162109375 107.5001220703125,8.96645610508169,81.26677592319848
8,1,1,939.7619 917.1099,145.80291748046875 82.05364990234375,9.069201854023051,86.00841907776021
9,1,1,910.5729 828.8575,75.22509765625 49.53143310546875,8.850778865738352,66.28136793241171
10,1,1,945.32684 846.5737,160.69671630859375 90.9765625,9.93562386378905,95.05392850039782
11,1,1,922.96 879.51984,124.60064697265625 96.2589111328125,9.22788643274293,83.76938122548346
12,1,1,991.63904 840.65485,169.31048583984375 97.92364501953125,9.594056779067893,94.35716939689343
13,1,1,946.1435 811.8784,125.88165283203125 95.65118408203125,9.80369044643932,88.34928680653118
14,1,1,966.05975 836.5202,123.39727783203125 122.99761962890625,9.711456425730251,89.69130004842718
15,1,1,1030.2474 768.3031,145.51397705078125 75.6549072265625,10.238488441665405,93.86433329931977
16,1,1,1015.59216 750.7709,117.80047607421875 109.62420654296875,10.175844900579712,91.94211365226151
17,1,1,984.40155 763.1921,139.84002685546875 99.05078125,10.022872695227193,93.91316434699809
18,1,1,1109.9299 727.7985,126.25213623046875 114.892578125,10.11709419112186,96.17351883034858
19,1,1,1087.7877 683.0879,151.00628662109375 88.93023681640625,10.742029674735162,103.95662399080774
20,1,1,1042.0199 702.36017,139.92706298828125 130.93011474609375,10.466038154580573,101.9220261937099
21,1,1,1200.2195 670.66095,152.2152099609375 144.06463623046875,10.664690826851992,113.20766141683868
22,1,1,1128.1472 661.6822,138.357666015625 134.515869140625,11.099608588070861,111.12134032857588
23,1,1,1108.6813 610.57227,156.86865234375 115.14544677734375,10.660725398780862,109.85171562363442
24,1,1,1243.4362 616.62524,162.2779541015625 148.8443603515625,10.880297992068014,119.70022258239277
25,1,1,1190.713 617.87256,167.9212646484375 132.19552612304688,11.2386569568804,120.6530584710266
26,1,1,1150.8252 582.7015,181.78857421875 123.91201782226562,10.948782316599345,118.70438429376586
27,1,1,1283.5979 612.5286,177.7164306640625 173.89077758789062,10.55507630554932,123.34044263845915
28,1,1,1231.3743 577.786,177.80419921875 131.64395141601562,10.956875997616097,121.48800663571527
29,1,1,1186.5164 564.00867,162.68731689453125 132.07546997070312,10.857540309201823,116.76194778978817
30,2,0,-770.50024 -461.20273,-48.71441650390625 -4.299224853515625,-8.414305592981583,-75.49199225304555
31,2,0,-767.25867 -493.14053,-61.0625 5.855010986328125,-8.874631344237962,-79.79500325731775
32,2,0,-712.50024 -444.9219,-63.61663818359375 50.887939453125,-7.767234396285827,-68.33344060568105
33,2,0,-818.0749 -509.39493,-50.49005126953125 1.817047119140625,-8.815031949974598,-77.61702397271677
34,2,0,-759.20184 -522.05273,-59.34368896484375 15.71966552734375,-8.949463122295985,-78.74651056789544
35,2,0,-736.31744 -522.8546,-83.94635009765625 39.7642822265625,-8.900358379729076,-80.5424585843536
36,2,0,-818.2865 -565.49066,-50.6251220703125 -2.6083984375,-9.40308867445892,-81.99566684930892
37,2,0,-804.22894 -592.07416,-67.4884033203125 3.8670654296875,-9.639298224319852,-85.9103151346553
38,2,0,-773.67847 -595.8529,-72.12347412109375 9.93658447265625,-9.562535523508068,-85.80353209682477
39,2,0,-862.4854 -622.26263,-47.98040771484375 7.63238525390625,-9.422396162871463,-80.88050592031851
40,2,0,-839.3751 -663.5853,-73.75946044921875 -3.42999267578125,-10.185798063634394,-92.40282455239749
41,2,0,-776.7165 -624.1664,-67.85882568359375 26.54156494140625,-9.422514611438089,-82.1626297241717
42,2,0,-913.47015 -726.7907,-82.60223388671875 -38.3629150390625,-10.673303633833099,-103.10520440416244
43,2,0,-853.2261 -687.7617,-70.02508544921875 0.92803955078125,-10.441738424359043,-93.54132790106028
44,2,0,-812.1342 -683.83905,-60.36865234375 25.43707275390625,-9.765519820606006,-83.57793964408121
45,2,0,-936.5824 -798.0526,-74.7467041015625 -55.09222412109375,-11.217251492931632,-109.01365130409545
46,2,0,-883.24005 -767.97906,-56.2862548828125 -17.8333740234375,-10.74480094309098,-96.93443246413918
47,2,0,-868.7007 -803.90375,-82.1435546875 -34.05096435546875,-11.084115618388289,-105.87313079436699
48,2,0,-964.45776 -847.60675,-71.58660888671875 -53.5472412109375,-11.406573028840862,-110.22730949254351
49,2,0,-910.06616 -825.83527,-71.0047607421875 -35.59326171875,-11.322461739411075,-107.0814637390439
50,2,0,-911.58075 -876.52374,-90.3463134765625 -37.77630615234375,-11.393086815102064,-111.395096914624
51,2,0,-994.41516 -889.89746,-94.14739990234375 -56.920166015625,-11.523620729476365,-115.82509907746237
52,2,0,-952.5801 -907.0265,-80.22454833984375 -46.32220458984375,-11.680976298476994,-113.31118192090841
53,2,0,-909.3372 -927.16925,-69.01678466796875 -40.5972900390625,-11.084072606982414,-105.90938008898333
54,2,0,-1028.5844 -939.7495,-86.186279296875 -34.447509765625,-11.169660497829234,-109.54113687405376
55,2,0,-975.8014 -942.7856,-72.5521240234375 -18.8658447265625,-11.294383083208,-106.05229538369383
56,2,0,-966.25525 -965.84875,-97.964111328125 -29.19873046875,-11.42889126360247,-112.89194581931449
57,2,0,-1036.5608 -995.18555,-69.09942626953125 8.38629150390625,-10.536096468815797,-97.1956315340756
58,2,0,-1003.06476 -1013.8873,-68.72076416015625 -45.5238037109375,-10.791096165313734,-104.29825861081068
59,2,0,-954.8818 -1013.5925,-64.51318359375 -37.4727783203125,-10.71306998589099,-101.86927866471186
from 40.0 to 60.0 100.0
NumNodes: 60
0,1,1,1040.0278 1146.564,182.18389892578125 113.47824096679688,15.316017339930557,129.83983819284458
1,1,1,1070.7263 1167.5913,187.87448120117188 103.5570068359375,15.734511105208998,132.50265365498825
2,1,1,1105.6539 1187.8818,180.17056274414062 119.51495361328125,15.94821404136111,134.28551715331673
3,1,1,1078.8385 1086.0609,200.5784912109375 105.378662109375,16.224735563090512,138.17972675050436
4,1,1,1134.754 1121.5237,203.15130615234375 124.02890014648438,17.672901143726218,150.4623192735476
5,1,1,1158.9177 1155.3218,195.46688842773438 128.28671264648438,17.25303991609131,147.09332930662023
6,1,1,1160.8037 1062.8645,211.08599853515625 126.66265869140625,17.98052217324091,155.61554465949354
7,1,1,1125.2538 1103.2246,178.23028564453125 149.24560546875,17.593795130022936,148.03890350244058
8,1,1,1184.3201 1122.6335,195.1805419921875 143.78863525390625,17.840290431235058,153.15891971527705
9,1,1,1195.0573 1033.2333,179.854736328125 126.95361328125,18.339472772282942,152.66796905207474
10,1,1,1218.249 1063.014,216.8094482421875 153.70843505859375,18.896059812396597,166.33238500905972
11,1,1,1214.5464 1089.2595,208.093505859375 152.99929809570312,18.603565252449126,162.0850565500894
12,1,1,1266.3663 1066.4597,222.01889038085938 161.8642578125,18.05319132684676,163.9847174859638
13,1,1,1259.8134 1021.3366,219.7757568359375 152.5546875,19.12401254075857,170.4259073466001
14,1,1,1193.2621 1066.8864,175.2998046875 176.681884765625,18.354933267557318,156.92572330248566
15,1,1,1307.9304 991.62585,211.59848022460938 149.48883056640625,18.773264147109053,168.30507516884416
16,1,1,1297.5923 1019.46,199.90029907226562 189.15667724609375,19.106584853394697,171.87365102822184
17,1,1,1265.3644 989.00885,210.40142822265625 162.43377685546875,18.886624820362343,168.64799703547706
18,1,1,1409.35 973.75793,212.83609008789062 180.42599487304688,18.21190982331861,173.75727557181816
19,1,1,1385.302 939.09985,224.26028442382812 172.47109985351562,19.260355437421893,182.89378580351735
20,1,1,1362.9786 929.61053,230.44290161132812 179.09024047851562,19.25331180482163,184.09884635894838
21,1,1,1511.133 903.9279,231.56439208984375 188.66580200195312,18.228319430259607,185.47344507582972
22,1,1,1449.0377 914.55615,229.62408447265625 193.69491577148438,18.606818789622352,185.48508178918723
23,1,1,1425.8229 849.1642,237.005126953125 176.86868286132812,18.32241649499273,184.14440848980468
24,1,1,1591.8416 855.9819,255.3416748046875 194.10049438476562,17.555080163605158,188.73869513825198
25,1,1,1488.4836 867.8482,232.845947265625 191.08558654785156,18.913562957855603,191.48910086533226
26,1,1,1454.6917 863.71606,242.8275146484375 202.4633026123047,18.691308118427543,191.59360630518486
27,1,1,1573.5734 812.3769,233.845947265625 186.86952209472656,17.364786898742217,182.7827995793267
28,1,1,1551.0463 847.5097,248.73809814453125 200.68382263183594,17.98326569830426,191.2755072083329
29,1,1,1522.1687 809.5523,249.16983032226562 188.80955505371094,17.944956087115138,189.59916655663662
30,2,0,-1004.9679 -522.66,-141.59103393554688 -32.87823486328125,-16.2403301393005,-152.27737291206995
31,2,0,-1008.38245 -592.23224,-151.0931396484375 -46.61834716796875,-17.64191454522313,-164.2919161553855
32,2,0,-968.99884 -536.7803,-160.0576171875 -20.485214233398438,-16.322109825837238,-154.83695520840226
33,2,0,-1038.5151 -569.96875,-135.46514892578125 -29.378387451171875,-17.124323222649718,-156.15031238693706
34,2,0,-1025.9064 -611.6143,-163.02410888671875 -36.92095947265625,-17.957886744830375,-167.413824213667
35,2,0,-981.3881 -608.8224,-164.50851440429688 -23.10174560546875,-17.631869514638495,-164.08486216209116
36,2,0,-1068.106 -675.1999,-150.2222900390625 -56.1588134765625,-18.737422568097656,-171.08891764116476
37,2,0,-1045.2753 -673.4376,-154.26736450195312 -38.748199462890625,-18.75267295522301,-170.15739874702317
38,2,0,-1012.7835 -691.5004,-155.6142578125 -42.85546875,-18.61097691363729,-170.025810016776
39,2,0,-1109.9843 -731.63715,-147.7396240234375 -50.871063232421875,-18.465219620774285,-167.92777875169983
40,2,0,-1078.5535 -752.097,-156.46890258789062 -45.9708251953125,-18.915972063068214,-171.91734930771594
41,2,0,-1038.8918 -703.4056,-165.01708984375 -26.34881591796875,-18.681820339096262,-170.16132591662267
42,2,0,-1146.8369 -841.46515,-157.9844970703125 -76.5186767578125,-18.933887625386316,-176.01964446923634
43,2,0,-1088.8813 -792.3503,-152.84017944335938 -51.83026123046875,-19.33842204834564,-174.84662085364127
44,2,0,-1057.6292 -783.879,-152.93179321289062 -37.30145263671875,-19.018786552441714,-170.70212984562676
45,2,0,-1170.5312 -900.96625,-154.3477783203125 -79.0029296875,-18.880505221420336,-175.39899620662808
46,2,0,-1108.0935 -865.3249,-140.56985473632812 -57.589599609375,-18.983158975822167,-170.77925659912444
47,2,0,-1082.9487 -916.89734,-148.19580078125 -73.52227783203125,-18.821248905966115,-172.92135871447346
48,2,0,-1154.6521 -944.9658,-130.89047241210938 -75.45315551757812,-18.91430262118131,-171.37750540218275
