ID,GROUP,CC,EMBEDDING_POS,VELOCITY_VECTOR,FINE_PCA,COARSE_PCA
from 5.0 to 10.0 NaN
NumNodes: 210
0,1,1,460.79828 3.243369,3.23748779296875 -0.3719370365142822,0.21573312948927448,2.204341427076648
1,1,1,465.6015 4.4783363,1.202667236328125 0.5105915069580078,0.19133055210254446,0.7909720586887385
2,1,1,468.81293 18.415741,3.531982421875 -0.10855674743652344,0.22439319823180182,2.4352385629764184
3,1,1,436.79623 19.13249,2.473175048828125 -0.5064487457275391,0.20883234077687532,1.6418390361874604
4,1,1,434.46594 29.393549,2.673309326171875 0.26251220703125,0.19981625387577218,1.7890390817504076
5,1,1,415.59378 26.143656,2.466705322265625 -0.11348342895507812,0.20418779395998407,1.61548157263504
6,1,1,410.7499 8.931171,2.88116455078125 0.5267019271850586,0.21476562082400014,1.9239920668591082
7,1,1,442.40958 19.979723,2.055572509765625 -0.017322540283203125,0.20968618025376615,1.4346687155880415
8,1,1,405.42365 6.535889,2.179779052734375 0.5067601203918457,0.2069834490763484,1.4791853897423837
9,1,1,442.38675 1.8712802,2.729644775390625 -0.6304378509521484,0.2028074321871574,1.8718204671862393
10,1,1,376.22165 13.21547,0.972808837890625 0.38968563079833984,0.10582387875808004,0.4549269856780446
11,1,1,443.7924 21.534138,2.387847900390625 0.10968589782714844,0.21439347623830046,1.6671238318797497
12,1,1,430.50034 8.240783,2.4481201171875 -0.2214956283569336,0.2031070622243841,1.6051396867991685
13,1,1,404.68332 26.110714,2.150848388671875 0.33677101135253906,0.19936292758058002,1.3682188645821238
14,1,1,394.6248 20.470337,2.75128173828125 0.16635513305664062,0.19273599162123273,1.7941620392427124
15,1,1,474.82117 21.196093,3.291656494140625 0.5288333892822266,0.21595288311745736,2.234033064787992
16,1,1,444.52036 28.397465,2.726287841796875 -0.35874176025390625,0.2021562949359746,1.8130917534396143
17,1,1,465.34256 14.549549,1.7227783203125 0.5014867782592773,0.2091746025922355,1.191169160726299
