ID,GROUP,CC,EMBEDDING_POS,VELOCITY_VECTOR,FINE_PCA,COARSE_PCA
from 10.0 to 20.0 100.0
NumNodes: 210
0,1,1,-2038.4792 -1189.6305,-374.1875 -299.83416748046875,-21.2092600967194,-176.93467628204826
1,1,1,-2072.2263 -1169.7712,-360.4609375 -303.829833984375,-21.06965902208428,-181.89314560228365
2,1,1,-2025.6724 -1094.4398,-369.2220458984375 -278.59918212890625,-21.085418149772945,-160.72348837248774
3,1,1,-1735.9974 -1315.0214,-390.32177734375 -288.4891357421875,-22.7903028663668,-164.94083015196094
4,1,1,-1705.8865 -1267.4015,-369.802978515625 -288.26885986328125,-21.321347607188564,-164.1841250362791
5,1,1,-1494.7847 -1447.4819,-424.211669921875 -324.1121826171875,-25.257559489536096,-191.44876330008833
6,1,1,-1569.6525 -1540.5488,-441.7667236328125 -319.9415283203125,-25.522003892739555,-186.25738321111783
7,1,1,-1800.853 -1257.8989,-342.981201171875 -290.38818359375,-22.20442179147163,-170.98722856571194
8,1,1,-1546.45 -1583.3425,-459.64990234375 -320.5631103515625,-25.25986403836104,-184.30884160168824
9,1,1,-1857.1809 -1315.0944,-382.3134765625 -273.6119384765625,-20.588173609257325,-151.6252615230295
10,1,1,-1256.721 -1838.5668,-370.29052734375 -295.3409423828125,-15.660484567667337,-167.24793912838985
11,1,1,-1836.633 -1225.7942,-379.014892578125 -282.5079345703125,-21.68463281120212,-160.06108388793876
12,1,1,-1704.9501 -1400.6578,-391.398681640625 -294.700927734375,-23.46197630614152,-170.53361221596813
13,1,1,-1439.3077 -1537.364,-421.5618896484375 -342.650390625,-25.58910087905716,-206.3177491169851
14,1,1,-1416.9323 -1609.2233,-442.17431640625 -306.2799072265625,-24.435004249525058,-178.61822578444037
15,1,1,-2046.1144 -1046.9482,-381.9376220703125 -266.93756103515625,-20.337622619917177,-148.9967647023303
16,1,1,-1806.071 -1203.1842,-406.3369140625 -258.42718505859375,-20.888387215442844,-139.36664632660734
17,1,1,-2013.576 -1138.9203,-358.1597900390625 -285.7335205078125,-21.624376411750532,-169.1522992800384
18,1,1,-1857.1411 -1194.3768,-385.53662109375 -274.3658447265625,-21.651880769020412,-153.7052603420685
19,1,1,-2129.877 -1160.0879,-378.6376953125 -352.1231689453125,-20.74343686912762,-211.71949608714942
20,1,1,-1462.9951 -1571.2333,-453.45208740234375 -330.204833984375,-25.672628934807726,-193.88924508738518
21,1,1,-1543.0502 -1505.0865,-439.3133544921875 -309.849365234375,-25.78578811845284,-180.6926370282189
22,1,1,-1517.7842 -1573.6919,-432.625732421875 -329.59619140625,-25.65216995299243,-194.80752529883387
23,1,1,-1538.9523 -1658.4698,-528.5964965820312 -368.3062744140625,-24.072981701235125,-204.10330230651206
24,1,1,-1613.3008 -1488.5334,-426.7459716796875 -312.2425537109375,-25.01004214959983,-180.82582656381535
25,1,1,-1444.8202 -1505.188,-406.9307861328125 -332.2652587890625,-25.395510414306397,-200.10797831933803
26,1,1,-1687.5707 -1466.3534,-411.82373046875 -304.171875,-23.512944177680346,-174.5555925772847
27,1,1,-1950.9923 -1203.8071,-401.335693359375 -273.52490234375,-21.64307214255924,-153.5212838579403
28,1,1,-1931.2246 -1135.3876,-353.67138671875 -276.06744384765625,-21.517220503830657,-159.63219756362136
29,1,1,-1671.6093 -1394.3276,-403.1519775390625 -294.24755859375,-24.11738794806599,-170.21794323743504
30,1,1,-1736.3092 -1293.97,-400.4725341796875 -279.38983154296875,-22.424545341967804,-156.80130479905745
31,1,1,-1486.5214 -1465.9891,-399.588134765625 -335.8150634765625,-25.54469896664572,-203.01929276722151
32,1,1,-1967.0371 -1130.3774,-359.7083740234375 -268.8052978515625,-21.402572515298683,-154.48809206490975
33,1,1,-2031.9031 -1068.7015,-352.147216796875 -266.492919921875,-20.730856680989934,-154.02701279264488
34,1,1,-1925.2535 -1195.2474,-361.1424560546875 -261.048583984375,-21.56156339539327,-149.66157456506915
35,1,1,-1998.4392 -1043.0304,-364.8968505859375 -279.14794921875,-20.471681876535133,-158.73255461773556
36,1,1,-2030.7483 -1123.9436,-383.610107421875 -284.5653076171875,-21.44257236483719,-164.98432170825586
37,1,1,-1265.8921 -1769.5013,-415.5233154296875 -245.2757568359375,-16.467251872322297,-132.10036434531128
38,1,1,-1541.5416 -1475.8898,-423.0806884765625 -322.0037841796875,-25.786480876077217,-190.6062223367971
39,1,1,-1581.5208 -1478.5159,-419.7286376953125 -313.17724609375,-25.433016317650015,-183.88142577003256
40,1,1,-1402.4674 -1535.6725,-415.66778564453125 -347.605224609375,-25.017080860601958,-209.82824325867205
41,1,1,-2128.9453 -1126.4985,-430.11181640625 -362.2647705078125,-20.740611228305706,-211.50525804160424
42,1,1,-1867.4293 -1211.1156,-377.0279541015625 -281.49627685546875,-21.73333247233224,-159.6640114522297
43,1,1,-1822.4722 -1285.2834,-385.2822265625 -281.0303955078125,-22.09192621448498,-159.47077497184367
44,1,1,-1616.5096 -1363.4319,-418.056396484375 -299.49267578125,-23.765067791106244,-171.47395148608987
