ID,GROUP,CC,EMBEDDING_POS,VELOCITY_VECTOR,FINE_PCA,COARSE_PCA
from 5.0 to 10.0 100.0
NumNodes: 210
0,1,1,-424.69775 -1979.5312,-34.11639404296875 -478.0819091796875,-57.897410307514924,-485.2295934326137
1,1,1,-474.83105 -1996.5188,27.83184814453125 -502.0908203125,-56.678782483529744,-492.0336509127628
2,1,1,-470.03738 -1901.8591,-40.176727294921875 -470.00634765625,-58.74922039013348,-481.31031557966173
3,1,1,-88.16219 -1909.7909,-31.337066650390625 -472.757568359375,-60.5632460562917,-483.8154415990856
4,1,1,-83.29634 -1859.2386,-22.695289611816406 -471.8681640625,-56.752199064220264,-473.0770142496896
5,1,1,195.15521 -1914.5559,-28.315414428710938 -452.064453125,-61.17737771558373,-462.18878702277743
6,1,1,197.1048 -2025.1763,-0.557891845703125 -453.51708984375,-62.57117976961684,-464.047161819211
7,1,1,-216.51012 -1899.4355,-43.56629943847656 -490.146728515625,-59.65114147619773,-496.38478977220586
8,1,1,232.18832 -2059.483,4.63690185546875 -456.4779052734375,-61.514424543295945,-462.5275767398578
9,1,1,-191.28348 -1983.2181,-30.586151123046875 -481.2744140625,-56.42159631787709,-482.2934716830529
10,1,1,600.23645 -2153.7153,385.6145782470703 -410.9024658203125,-34.80241724060114,-345.8296064586426
11,1,1,-231.01335 -1882.2863,-40.059051513671875 -463.837158203125,-59.736393053036146,-478.87537100253576
12,1,1,-18.017612 -1984.9481,-18.849257707595825 -488.8365478515625,-60.32722358905086,-491.5756893014095
13,1,1,297.3136 -1962.4774,-3.033782958984375 -445.8577880859375,-60.86264738481152,-454.03996758370045
14,1,1,384.88782 -2030.3014,39.32098388671875 -423.8280029296875,-56.219833292861075,-425.9517904301627
15,1,1,-518.76263 -1883.306,-64.38162231445312 -471.076904296875,-57.24070142929056,-479.60663302372683
16,1,1,-175.70164 -1850.9406,-42.59979248046875 -477.60595703125,-56.67509744097058,-480.20962669032747
17,1,1,-449.82147 -1923.6984,-41.114898681640625 -468.335205078125,-59.53700233290532,-482.9370140673711
18,1,1,-266.95227 -1878.3077,-53.90216064453125 -479.77783203125,-60.315423989054395,-491.86379072908767
19,1,1,-517.78973 -2018.0013,-39.31182861328125 -468.1873779296875,-54.82293823002228,-472.1042775799314
20,1,1,314.2258 -2016.7803,3.5869140625 -450.8809814453125,-60.82798213190358,-456.6649709462218
21,1,1,208.10974 -1987.8915,-7.285980224609375 -456.6656494140625,-63.200124179188286,-468.07529167579713
22,1,1,251.68616 -2033.0533,12.818771362304688 -454.6793212890625,-61.923842253706404,-461.4409873994798
23,1,1,279.85202 -2107.926,16.6739501953125 -443.4676513671875,-58.41018745916503,-445.25147539005957
24,1,1,121.07961 -1998.7032,-13.496818542480469 -471.3587646484375,-62.5287538077587,-478.88399251359544
