ID,GROUP,CC,EMBEDDING_POS,VELOCITY_VECTOR,FINE_PCA,COARSE_PCA
from 5.0 to 10.0 100.0
NumNodes: 240
0,1,0,-1545.7744 -855.60986,-734.1001586914062 -348.8333740234375,-30.418925089264945,-592.8125520534604
1,1,0,-1581.1738 -647.8054,-660.7698364257812 -31.0738525390625,-24.50123449767328,-448.08557107463577
2,1,0,-341.63928 -1334.5182,-413.38045501708984 -540.1488037109375,-24.135799299872044,-482.448778535881
3,1,0,-1626.7178 -781.89905,-745.8915405273438 -192.390869140625,-27.787720755719413,-539.0391373942964
4,1,0,-1220.8706 -954.43445,-524.0853271484375 -647.3570251464844,-34.18928311444883,-633.1158254995175
5,1,0,-405.74417 -1443.6779,-406.6787676811218 -540.789306640625,-28.53154947903639,-531.7334578972191
6,1,0,-649.3306 -1354.2328,-430.08958435058594 -628.7396240234375,-27.299488552805744,-546.0330683448143
7,1,0,-1045.4391 -887.57825,-390.22393798828125 -716.5890502929688,-30.411397319215858,-568.8472382970676
8,1,0,-1664.3687 -573.2843,-751.922119140625 137.7176513671875,-19.705138758720253,-386.9752581515497
9,1,0,-1698.0789 -615.5312,-843.3269653320312 84.01959228515625,-22.19305818127526,-445.05095391929376
10,1,0,-432.01315 -1375.1649,-432.26179599761963 -541.4122314453125,-30.197630990807756,-555.2684476551908
11,1,0,-1685.501 -592.1517,-799.4503784179688 147.7442626953125,-20.798541195974348,-408.2925252252875
12,1,0,-1746.2189 -779.7194,-766.87646484375 -162.29022216796875,-20.96050683711573,-460.8248035524157
13,1,0,-998.46857 -977.1029,-445.0218505859375 -737.0101165771484,-34.659458006068746,-633.0193355236522
14,1,0,-1476.2826 -842.3098,-650.3179931640625 -382.5447692871094,-31.769386377497987,-591.3835143178076
15,1,0,-535.4029 -1553.2606,-371.994873046875 -586.297119140625,-22.323621212666588,-465.8032006794783
16,1,0,-869.25714 -1169.4094,-438.3268127441406 -746.7014465332031,-28.087178534224847,-581.3166348853268
17,1,0,-1609.4854 -688.22766,-727.2305908203125 -45.49371337890625,-26.645066130740837,-491.0030044607431
18,1,0,-1396.8397 -712.89746,-453.06134033203125 -297.81402587890625,-25.475860110086103,-446.3442247870877
19,1,0,-1674.5363 -712.10596,-718.4192504882812 -50.1744384765625,-24.989821129968128,-473.2155006450091
20,1,0,-1244.7574 -827.6825,-452.17431640625 -553.3360900878906,-32.011630296129766,-561.9789270559118
21,1,0,-367.85648 -1541.043,-365.0483512878418 -535.5137329101562,-24.40641109668148,-477.1460140776495
22,1,0,-1537.1786 -833.7803,-678.3709106445312 -329.403076171875,-29.942748808349158,-570.1078691035281
23,1,0,-1652.4061 -653.5399,-789.3831176757812 2.68994140625,-25.398085056959545,-484.0820030803767
24,1,0,-1312.325 -894.8819,-554.2135009765625 -544.2144470214844,-34.71496612851658,-624.2512195010858
25,1,0,-1364.1301 -784.1435,-485.5401611328125 -401.3618469238281,-30.761087810785618,-530.4820662420666
26,1,0,-1384.6212 -840.9617,-549.9365844726562 -447.3465576171875,-32.50061925468253,-577.8381224477984
27,1,0,-842.2167 -1143.4958,-437.18695068359375 -712.8209533691406,-29.006786539854755,-582.4209866896979
28,1,0,-1309.4642 -946.7051,-589.2567138671875 -603.1102905273438,-30.776869308889204,-605.7420736506782
29,1,0,-508.65536 -1445.6089,-398.8751983642578 -580.0481567382812,-28.75352560866592,-541.4009381946353
