ID,GROUP,CC,EMBEDDING_POS,VELOCITY_VECTOR,FINE_PCA,COARSE_PCA
from 5.0 to 10.0 100.0
NumNodes: 240
0,1,0,567.1472 1381.7058,155.03289794921875 544.4806518554688,44.71807692499328,469.9506604469623
1,1,0,550.70935 1165.9757,202.63241577148438 519.9962158203125,43.1494960014935,470.4156811873387
2,1,0,1759.3204 1829.2493,423.3270263671875 337.238525390625,41.17089535250273,439.800219102086
3,1,0,494.77386 1304.2334,177.78799438476562 521.2137451171875,43.09258676318082,461.5288900213424
4,1,0,876.3869 1483.0184,185.4947509765625 578.734619140625,49.68390799779463,516.8518328043851
5,1,0,1697.7747 1942.436,504.047119140625 409.736083984375,48.264339994105555,535.0394740226616
6,1,0,1449.89 1872.1392,372.734130859375 534.7001953125,47.025650678595355,546.2676001840164
7,1,0,1054.6548 1418.6871,179.4912109375 619.9854736328125,47.892814753718774,517.5644816112226
8,1,0,481.63818 1089.1012,176.01547241210938 494.28515625,37.58115241590192,423.1088378454536
9,1,0,442.87448 1129.0233,154.98687744140625 524.5857543945312,39.50255272971954,440.5681571000545
10,1,0,1668.0093 1877.2649,426.808837890625 396.829345703125,47.118321129192246,500.10559804501645
11,1,0,459.4207 1108.7787,210.16644287109375 497.599609375,38.74743649943064,437.3302003688118
12,1,0,384.01413 1299.6132,141.7108612060547 493.1995849609375,35.48675439114232,398.728479985915
13,1,0,1095.4031 1509.4102,189.163330078125 617.4357299804688,51.4325048016681,543.0757660890346
14,1,0,634.37213 1368.3987,172.13168334960938 548.03076171875,46.74792409620805,485.36542171348447
15,1,0,1574.3834 2055.19,574.4782104492188 574.0758056640625,45.167437252276855,590.8054842375224
16,1,0,1225.7954 1698.4288,288.29974365234375 612.767578125,45.93679398331771,542.2321257118715
17,1,0,521.0119 1206.2567,208.84564208984375 526.81201171875,44.12942036649048,477.92912847393654
18,1,0,723.7915 1234.3785,199.926513671875 574.0411376953125,46.4076011827921,499.0483398665799
19,1,0,453.4682 1224.8784,201.99591064453125 510.9193115234375,42.099975902799514,458.690367820785
20,1,0,861.0496 1355.925,178.248779296875 599.8268432617188,50.93498896504118,526.953689265542
21,1,0,1740.4606 2035.2952,604.793701171875 423.64892578125,46.22256961616739,555.1132463159056
22,1,0,576.8774 1359.4097,189.36642456054688 531.3922729492188,45.01825994421294,473.8480235500307
23,1,0,480.92435 1170.6786,180.79156494140625 512.2115478515625,42.39685466202188,459.2752137273285
24,1,0,791.3032 1421.0885,170.52716064453125 572.047119140625,49.61593844630788,508.9004101925527
25,1,0,747.73376 1307.3936,190.57696533203125 578.931396484375,49.93096524219529,518.6149469727947
26,1,0,724.5542 1364.0293,185.3953857421875 568.6456298828125,49.41701885331502,509.1483236083884
27,1,0,1252.0415 1672.914,249.14166259765625 595.8116455078125,46.697504175724546,533.2669381669492
28,1,0,792.792 1475.0845,156.00177001953125 564.0196533203125,45.68956303229988,479.877743100833
29,1,0,1594.178 1951.9094,473.200439453125 485.4718017578125,49.49111792688181,566.2439471447508
30,1,0,819.9933 1338.1326,190.78790283203125 601.1902465820312,50.88203112769328,529.8248321879215
31,1,0,1718.2202 2054.338,614.834228515625 452.03271484375,46.17545351007553,564.1128447571683
32,1,0,1563.9647 1734.8164,248.1126708984375 406.726806640625,41.3150588698506,419.8929917530635
33,1,0,1668.5686 2072.4258,613.8306884765625 499.5230712890625,46.50081190047485,585.1611300718707
