ID,GROUP,CC,EMBEDDING_POS,VELOCITY_VECTOR,FINE_PCA,COARSE_PCA
from 10.0 to 25.0 67.19296155079462
NumNodes: 240
0,1,0,884.1361 450.48502,-467.6558837890625 -361.4715270996094,-62.40582834061057,-562.4640774023063
1,1,0,614.1396 329.72363,-604.9824829101562 -677.48974609375,-76.48147955531431,-832.2436707991217
2,1,3,1230.847 1709.7369,878.4141845703125 766.9482421875,114.58839219621159,915.8209772046253
3,1,0,801.95154 392.2772,-540.3751220703125 -531.2769470214844,-73.91646967918604,-715.9637853266195
4,1,0,996.088 795.449,-102.648193359375 134.642578125,-11.580207052560167,-47.45445728507424
5,1,3,1105.4705 1714.4929,836.9539794921875 868.6561889648438,124.99322170122181,997.0333856287039
6,1,3,1036.316 1489.0331,609.7412414550781 818.9664916992188,102.07301926486011,833.5100776443642
7,1,3,1088.7915 950.9589,121.80865478515625 334.3123779296875,18.572829101561,210.95915165042902
8,1,0,475.6079 136.90414,-769.4775390625 -941.1103820800781,-69.33637374748453,-898.0265156886305
9,1,0,477.30682 159.4419,-714.0703735351562 -894.248291015625,-71.5816904242668,-887.5875693387372
10,1,3,1158.9471 1656.8079,833.6445922851562 808.9937744140625,120.62364687542025,949.3886637254564
11,1,0,413.79877 101.00928,-801.1398315429688 -984.7265625,-59.88668824379836,-840.9821052603977
12,1,0,833.01404 312.7582,-452.0804443359375 -634.4635314941406,-72.58549743393812,-728.5022230449893
13,1,3,1043.0942 1018.5394,157.98583984375 345.90399169921875,24.358410745439194,247.4902248477888
14,1,0,901.5236 538.5783,-384.79095458984375 -233.5831298828125,-53.354567145638164,-446.69090345846536
15,1,3,955.72363 1690.8345,732.4201507568359 1008.7622680664062,114.65616968068667,977.3791359179684
16,1,3,1048.4142 1218.4541,336.27447509765625 601.9744873046875,57.65901598115439,517.0605916763302
17,1,0,648.17114 327.74063,-613.809814453125 -646.2843933105469,-78.32407992780571,-828.2340339241368
18,1,0,765.8618 566.1489,-408.293701171875 -314.13726806640625,-50.49930609775683,-479.89396398612865
19,1,0,732.85944 366.9703,-517.2400512695312 -629.8782653808594,-78.71869571025596,-785.9742441496069
20,1,0,908.10504 779.25806,-172.31146240234375 31.2744140625,-19.263967975214765,-140.3216615940433
21,1,3,1024.1294 1804.2992,857.263427734375 963.6776733398438,122.77935314949438,1028.7230397817107
22,1,0,878.57684 484.47113,-453.12176513671875 -339.2933349609375,-60.00887723519885,-535.0716775244515
23,1,0,623.58936 289.1897,-648.24853515625 -733.5999145507812,-80.41257507844622,-879.8074584144472
24,1,0,951.067 692.4072,-210.246337890625 -9.65069580078125,-29.87864258750919,-209.60369274130622
25,1,0,837.00366 621.9887,-346.0382080078125 -190.01483154296875,-44.302381072930345,-384.9593456484272
26,1,0,890.64966 597.0547,-338.0599365234375 -177.73834228515625,-47.08272214411333,-384.90406987751373
27,1,3,1076.1273 1245.211,384.82733154296875 598.083984375,62.0901266717676,542.6419473241394
28,1,0,972.5284 667.2445,-208.73480224609375 2.7325439453125,-33.14121961898356,-222.4248956516496
29,1,3,1055.6353 1642.0687,753.2939147949219 893.3626708984375,121.11505152432662,971.1220488212948
30,1,0,875.8046 692.46423,-256.46868896484375 -71.475341796875,-32.967926031940934,-264.7031683777932
31,1,3,999.3702 1794.3474,839.4250335693359 980.5387573242188,122.0665103321492,1025.8907267382797
32,1,3,1181.9764 1429.9777,679.3165893554688 589.412353515625,94.06762209109857,718.0382190007251
33,1,3,971.12756 1764.164,798.660888671875 1002.2279052734375,120.82948273673512,1021.2956676687561
34,1,3,1173.3938 1735.9106,879.076171875 785.8267822265625,118.74363895946104,945.9597085764417
35,1,0,741.70386 494.99744,-474.1829833984375 -407.59808349609375,-61.780293716544605,-596.7587865811704
36,1,0,952.644 586.0849,-321.72564697265625 -127.79150390625,-45.30162751643534,-352.12851433290376
37,1,3,1154.2736 1390.5354,603.5713500976562 618.8494262695312,90.94200943326483,700.739425272066
38,1,0,726.17096 309.6366,-576.9097290039062 -721.9637451171875,-81.70387851750026,-848.4189320498571
39,1,3,1098.691 1787.1693,867.5928649902344 903.1392822265625,122.95707222905892,1007.6209091077203
40,1,3,1027.4089 1221.4043,297.453857421875 624.973388671875,57.63983352881998,516.2674964633372
41,1,3,1043.4044 1325.8077,441.335693359375 685.0088500976562,74.11632217784297,636.0389487265256
42,1,0,929.6806 527.5813,-409.77838134765625 -219.79827880859375,-52.70406168467163,-440.6632059632087
43,1,0,949.3945 523.8516,-376.88800048828125 -211.8118896484375,-51.677140462503296,-425.83285344631923
44,1,3,1080.0546 1619.5831,753.5355224609375 849.0023803710938,119.46800301249188,946.1506190862563
45,1,3,1037.917 1078.4398,197.6522216796875 432.33905029296875,35.23651986927692,332.5897926249984
46,1,3,1047.2267 1130.2177,263.19183349609375 478.07269287109375,43.811455765333974,399.4034543716702
47,1,0,921.9234 767.9906,-135.87567138671875 29.0235595703125,-20.243062207622295,-138.1476673250692
48,1,0,871.37103 728.6062,-230.40191650390625 -57.2156982421875,-29.093919766686167,-234.35893252260684
49,1,0,825.5923 646.38074,-330.4859619140625 -178.8902587890625,-42.52768258534027,-369.64343478729916
50,1,3,1149.2228 1505.0436,702.5123291015625 715.7298583984375,105.98565029667947,819.4987633383978
51,1,0,1002.50806 620.9789,-261.1297607421875 -43.90020751953125,-36.514855342284804,-263.1330052421344
52,1,0,937.96796 812.12146,-143.64227294921875 83.0377197265625,-12.472623455272036,-80.98966191271026
53,1,3,1146.9418 1668.4326,815.4894409179688 808.432373046875,121.10567733378109,949.1921848207751
54,1,3,1066.6621 1715.082,813.7628326416016 913.9699096679688,125.07956473882913,1009.1019205100051
55,1,3,1058.7115 1010.86615,170.36767578125 354.50933837890625,24.49061517083467,252.89558325575297
56,1,0,678.3578 286.73898,-578.72705078125 -739.5475158691406,-82.42501169861653,-869.6467729780916
57,1,3,1165.8828 1355.8075,582.671875 579.8568115234375,86.43969787712274,662.5510014556133
58,1,3,983.80975 873.195,-9.81146240234375 180.59820556640625,1.7612836144606234,50.80736644753868
59,1,3,1002.20123 1613.1437,695.8052673339844 933.1325073242188,114.06193793915536,941.0593823844321
60,1,0,839.52136 638.82825,-325.9632568359375 -171.14556884765625,-42.78425220259168,-366.81459952648004
61,1,3,1195.4589 1476.1976,748.2000427246094 641.4918212890625,99.26566403368066,769.134357333988
62,1,3,1084.8757 1011.128,192.986083984375 379.80352783203125,24.81390049426268,266.0118586895197
63,1,0,937.223 694.89667,-243.8104248046875 -24.08428955078125,-30.399016623624405,-222.9922029066242
64,1,0,770.09326 391.14975,-543.693115234375 -524.9528503417969,-75.50358563734298,-730.9286731840513
65,1,0,657.88806 270.62674,-642.3560791015625 -752.6007995605469,-82.64537981350237,-891.946097870464
66,1,3,1012.2255 1041.392,79.61224365234375 433.96038818359375,27.734328985699435,273.44877718595035
67,1,3,1151.617 1705.2526,850.0325012207031 829.0226440429688,121.48308725694656,965.2783607370932
68,1,3,1031.3987 1674.9666,757.9629516601562 930.929443359375,122.52111892133003,994.816024531126
69,1,3,1187.5299 1506.656,723.8442077636719 682.5968017578125,103.09430652443432,795.9180061934812
70,1,0,711.11816 475.76144,-481.9322509765625 -472.0896301269531,-61.90433449937421,-626.1461354478935
71,1,3,1061.8579 1522.8948,653.2498168945312 820.8195190429688,107.75291590934523,865.1337730333537
72,1,0,851.15344 473.52194,-459.39599609375 -342.1136779785156,-62.599645452818734,-557.0646207275615
73,1,3,1009.9873 1573.2432,656.8852844238281 917.8804931640625,110.3447060545759,911.9078312368129
74,1,0,791.3943 347.80078,-564.6322021484375 -598.1478271484375,-76.94117883814565,-766.5666058819301
75,1,3,1184.3859 1354.4845,597.0154418945312 559.8775634765625,86.35818481594548,659.1895579543061
76,1,3,1180.4939 1575.1561,785.0496826171875 722.9114990234375,111.99583430559731,867.0516919625627
77,1,3,1219.8436 1468.5275,735.6840209960938 607.8326416015625,97.17814073752432,746.8399465011076
78,1,3,973.21106 882.29254,-33.2232666015625 202.33734130859375,2.002131868963848,54.21004824217107
79,1,3,1117.5496 1048.551,249.6827392578125 428.22686767578125,29.37199309551503,313.3630000572088
80,1,3,1036.5298 1386.0428,492.6488037109375 757.3623657226562,82.46109386318601,705.7619837463654
81,1,0,757.6829 486.5347,-479.50872802734375 -415.2801818847656,-63.51175410426489,-608.7272098417325
82,1,3,998.67206 871.1405,-15.51043701171875 182.870849609375,1.1316628006629612,48.18212082877899
83,1,3,1019.3898 957.01556,83.01947021484375 289.74420166015625,16.569879809809464,176.8277086514787
84,1,0,637.48224 311.27588,-621.3181762695312 -677.9512329101562,-79.10426178088142,-846.5798507256859
85,1,3,1130.248 1397.3717,617.939697265625 630.0732421875,92.319288124394,716.553414074252
86,1,0,914.29065 606.7046,-325.9085693359375 -138.58587646484375,-45.3254026095091,-359.7824029869394
87,1,0,866.40857 617.344,-338.716796875 -171.246337890625,-45.206007534121376,-378.0108639348184
88,1,3,1041.0507 1288.796,404.8992919921875 649.0628662109375,68.12709880369685,591.6136481072293
89,1,3,1009.5336 977.21094,54.78411865234375 301.8406982421875,17.72968506107037,179.9824147472356
90,1,3,1058.5209 1745.0889,824.2577514648438 927.5592651367188,124.92417610386705,1017.6041222889821
91,1,3,1030.4703 1756.676,831.2349395751953 937.8992309570312,124.2152763610674,1021.0412393999045
92,1,3,1000.97656 952.73724,61.88726806640625 260.31292724609375,13.85478890028707,148.89528680688034
93,1,0,884.17487 537.99023,-418.96893310546875 -234.558349609375,-54.18837758032663,-459.2678891189504
94,1,0,579.94934 260.64252,-651.74755859375 -771.9415893554688,-78.57965116756647,-893.9788604380683
95,1,3,1009.8456 1718.6388,792.0825500488281 966.3428344726562,123.68840063972523,1019.1760602375982
96,1,3,1010.28156 889.8064,-1.815673828125 244.13690185546875,5.36784658186819,91.14000095442682
97,1,3,1034.8649 1119.3416,219.390869140625 481.61724853515625,42.790634032854385,386.86085919881447
98,1,3,1106.1395 1814.1292,903.9295043945312 891.9857177734375,120.30922034333611,997.9242235527229
99,1,3,1078.9688 1336.1057,525.755859375 651.9032592773438,79.42002338882178,660.9676407694234
100,1,3,1191.3857 1617.1029,820.6139831542969 737.0869750976562,115.09823140208943,895.172445631351
101,1,0,825.0245 515.29285,-438.44024658203125 -308.96929931640625,-59.533189023224,-528.3568278667873
102,1,3,1197.3701 1404.7189,651.8724975585938 591.7559204101562,91.81321114619585,702.5644524452811
103,1,3,1034.8228 991.4069,125.3935546875 335.78570556640625,21.525936821516364,223.85242292362253
104,1,3,1025.5662 1642.9261,731.4671630859375 925.744384765625,119.99227592672578,974.4467448480684
105,1,0,978.631 830.5502,-70.8238525390625 155.87738037109375,-6.432255790112,-9.671937599863757
106,1,3,1059.0813 1502.7616,628.9256896972656 805.7500610351562,105.80196175551326,847.9746038813133
107,1,0,963.54504 790.13806,-120.46484375 93.9134521484375,-13.474817617942131,-75.05102379729016
108,1,0,915.91766 732.33105,-208.11419677734375 -0.65460205078125,-26.05026467782322,-190.34573364711292
109,1,0,804.78015 637.7575,-327.3612060546875 -199.36419677734375,-42.48911429012052,-376.60753436697115
110,1,3,1098.7723 1174.1682,340.71722412109375 469.757568359375,51.91280113993267,441.0007268983995
111,1,3,1192.2424 1733.2097,893.6122436523438 807.5852661132812,118.98536215662477,955.9279131621386
112,1,3,1115.2424 1564.8783,728.7449035644531 787.1866455078125,114.68331884910276,894.1715099329901
113,1,0,714.1903 373.61798,-591.103759765625 -585.08544921875,-78.71780734743038,-789.087936542891
114,1,3,1098.4635 1644.2477,788.1912231445312 846.1105346679688,121.58683573562949,959.6602023746507
115,1,0,810.284 468.8714,-488.52813720703125 -386.892578125,-64.63647621031164,-594.6128623855236
116,1,3,1027.47 970.6106,99.88348388671875 289.6173095703125,17.868580279181625,185.63853689168292
