ID,GROUP,CC,EMBEDDING_POS,VELOCITY_VECTOR,FINE_PCA,COARSE_PCA
from 5.0 to 10.0 100.0
NumNodes: 240
0,1,0,1986.1617 -588.15955,739.868408203125 15.7957763671875,102.445278548026,660.8199800802886
1,1,0,1863.6556 -760.90924,745.1466064453125 4.67010498046875,100.0816824580415,668.13090011454
2,1,0,1776.6311 637.71576,791.77978515625 309.9477233886719,99.97287895710265,717.3897240265733
3,1,0,1989.0455 -697.5254,748.5050048828125 10.69024658203125,100.64872899034907,669.6650840529658
4,1,0,1828.6056 -288.1397,797.4881591796875 95.20162963867188,110.39152489309068,723.3413228637185
5,1,0,1651.9387 654.0072,790.9271240234375 285.82464599609375,106.19651329044751,746.4078005469653
6,1,0,1587.7032 400.22815,804.8450927734375 262.6861877441406,103.58464645180484,742.422648774206
7,1,0,1673.3539 -203.00468,821.0469970703125 229.2861785888672,109.19454128163765,742.4045200006829
8,1,0,1873.9998 -871.80145,755.8236083984375 -21.12158203125,92.94663094772146,647.1867710508084
9,1,0,1919.7207 -862.32666,824.024658203125 -16.79254150390625,96.02336618020738,683.4409712280271
10,1,0,1685.9419 591.87787,792.6583862304688 267.5892639160156,106.67431612831894,743.8121800678593
11,1,0,1903.6482 -875.7513,761.577392578125 3.926513671875,94.37857202993919,656.4126883177512
12,1,0,2075.0884 -780.9971,860.3126220703125 -26.7784423828125,91.16710573874805,672.9642499267777
13,1,0,1711.3519 -106.93358,860.7765502929688 211.9153594970703,114.28535445406753,780.8089308971771
14,1,0,1928.0791 -547.7641,725.9190673828125 10.16119384765625,104.87924000898174,662.1013070799997
15,1,0,1497.0997 618.87634,809.4742431640625 297.1329345703125,97.62702251319845,723.0097576550043
16,1,0,1659.9977 109.92609,853.6762084960938 273.4081115722656,104.9115556976591,767.632634577697
17,1,0,1911.502 -752.04553,765.6217041015625 34.31982421875,101.67211894940307,683.5760963970563
18,1,0,1781.7831 -583.3937,739.55419921875 20.0440673828125,103.37955344359432,656.6907366095273
19,1,0,1976.1897 -779.0823,778.8919677734375 20.12957763671875,99.55847804784733,680.513310359079
20,1,0,1756.4695 -393.82275,756.0704345703125 91.0802001953125,110.42061165832995,694.0765264914996
21,1,0,1606.5433 746.63605,803.9835815429688 291.2226257324219,101.32250264385054,735.7438248689891
22,1,0,1964.3075 -597.20355,727.9530029296875 32.28662109375,102.62368119163835,657.4428065629892
23,1,0,1920.8917 -805.45795,778.213623046875 -25.1060791015625,99.88549988933013,681.3855727517332
24,1,0,1851.5443 -394.1182,774.66015625 52.003631591796875,109.46356755232797,700.157963825479
25,1,0,1807.2732 -509.41324,742.9107666015625 48.983367919921875,108.33088563704747,677.5551230161993
26,1,0,1862.3978 -484.1666,732.4217529296875 38.067535400390625,108.06253017799854,673.3673842419237
27,1,0,1673.2433 123.15179,854.1401977539062 261.26016998291016,106.73391540465374,772.5111782165188
28,1,0,1887.981 -354.74792,821.2249755859375 56.1385498046875,105.30534827615062,705.2000873958184
29,1,0,1588.9377 572.86694,798.3104858398438 274.1622314453125,106.2476653248628,750.1032341475741
30,1,0,1777.9922 -435.92877,751.3492431640625 74.42037963867188,109.86482470350322,688.5993616150795
31,1,0,1578.7335 741.25354,809.3430786132812 294.94488525390625,100.9203187361277,735.3328753334333
32,1,0,1742.9563 416.89603,746.3219604492188 219.81625366210938,101.55038743196413,695.6650993586203
