ID,GROUP,CC,EMBEDDING_POS,VELOCITY_VECTOR,FINE_PCA,COARSE_PCA
from 5.0 to 10.0 100.0
NumNodes: 240
0,1,0,1875.6598 -1326.1703,529.8792724609375 -201.2376708984375,78.82452336567755,520.8732058856069
1,1,0,1663.3423 -1354.2448,501.9832763671875 -144.5621337890625,75.2420542022738,493.65642073559195
2,1,0,2505.4473 -265.80127,449.877685546875 -209.93583297729492,63.25040490818573,442.14451410359277
3,1,0,1796.8562 -1403.1265,505.0762939453125 -175.1866455078125,75.98978492415088,499.42462049775605
4,1,0,1969.2046 -1005.2808,547.9805908203125 -189.9700927734375,83.71663108630081,550.7739623037436
5,1,0,2419.7363 -181.61336,437.265625 -233.9733428955078,66.93986066457644,456.96873702380714
6,1,0,2217.5994 -335.32648,465.969970703125 -218.11705780029297,67.51401354349625,471.1073741521598
7,1,0,1911.6937 -837.854,587.8438720703125 -189.49957275390625,81.85923596550384,562.1352227396625
8,1,0,1590.2141 -1436.5958,478.87353515625 -171.2698974609375,69.19732743486274,464.636324486532
9,1,0,1632.743 -1469.6335,505.3341064453125 -188.543701171875,71.27737737356132,483.25463267745124
10,1,0,2422.8477 -256.62418,443.33544921875 -243.14048957824707,67.72492441160817,461.7200647083165
11,1,0,1609.8342 -1457.8773,478.2689208984375 -137.369384765625,70.10818902222296,465.24145921949093
12,1,0,1794.8557 -1519.4319,474.2071533203125 -209.90380859375,67.40276844534931,457.63302313459997
13,1,0,1983.5358 -792.1317,579.3714599609375 -198.90521240234375,84.62096721667906,573.1345210623557
14,1,0,1861.6112 -1257.1709,529.23388671875 -183.2357177734375,80.95886498929441,527.1297226608224
15,1,0,2275.4272 -109.50345,452.3426513671875 -220.66332244873047,61.67016444478618,443.2779256733253
16,1,0,2118.4895 -609.9554,592.476806640625 -172.27178955078125,74.0173584966326,539.5524586253373
17,1,0,1701.8424 -1383.4535,505.62060546875 -141.006591796875,76.1987908952131,497.63466646446
18,1,0,1729.8022 -1175.957,542.9287109375 -151.6519775390625,79.99189476187401,525.4577856922083
19,1,0,1721.7821 -1451.7672,490.86181640625 -146.173828125,74.16905981251797,484.48304832387777
20,1,0,1845.2892 -1029.8063,566.9639892578125 -186.4837646484375,85.30812327594555,559.5880526067799
21,1,0,2434.2324 -80.52511,441.0482177734375 -228.76477813720703,63.505752269050916,446.3506083202901
22,1,0,1854.0513 -1316.9185,516.5084228515625 -166.5372314453125,78.84779880742126,513.0725978614757
23,1,0,1668.3315 -1424.4077,493.7481689453125 -170.05126953125,74.48491361840162,489.908684000329
24,1,0,1912.2009 -1095.6716,546.4119873046875 -197.35601806640625,84.08026473679195,548.2503276840292
25,1,0,1800.1299 -1145.308,550.87451171875 -165.98565673828125,83.93161303142834,544.9477101103311
26,1,0,1857.9502 -1166.2646,545.4722900390625 -172.43170166015625,83.70758690397122,542.2521893913151
27,1,0,2101.1323 -591.9342,541.00927734375 -180.83673095703125,75.05985336547728,527.1249309503958
28,1,0,1965.3008 -1092.8134,544.3106689453125 -219.94012451171875,80.33515018028979,535.6501081369797
29,1,0,2321.5552 -205.15108,445.8173828125 -228.5854949951172,67.37890027798174,462.46323932561177
30,1,0,1831.0602 -1072.9803,571.70556640625 -170.02178955078125,85.10157664116925,558.1731949320538
31,1,0,2408.8071 -68.63658,442.919921875 -230.1600799560547,63.253423154724224,445.69080637220986
