ID,GROUP,CC,EMBEDDING_POS,VELOCITY_VECTOR,FINE_PCA,COARSE_PCA
from 15.0 to 40.0 51.126579936003694
NumNodes: 240
0,1,0,-233.34811 -423.92688,26.04400634765625 409.3758544921875,50.53363003378329,413.3347989250352
1,1,0,-141.36104 -215.0752,-25.332130432128906 357.34844970703125,45.89336379266855,373.18729588724955
2,1,2,-1310.7493 -1069.395,-46.7545166015625 -627.2842712402344,-55.44528955054219,-495.42660362995343
3,1,0,-170.07129 -341.93472,13.841964721679688 410.1089172363281,50.85793048923175,416.83506418648005
4,1,0,-577.8676 -571.27124,-25.076171875 235.25433349609375,31.577875662394923,251.79494043886055
5,1,2,-1372.7269 -970.62006,-137.85791015625 -655.7469482421875,-60.77076802438447,-543.5069804764194
6,1,2,-1201.2927 -783.6029,-187.26715087890625 -430.45062255859375,-39.0672041875801,-346.6056528445266
7,1,0,-757.54584 -549.6807,-171.055908203125 96.00946044921875,17.502542855799252,117.08152934422984
8,1,0,100.55653 -73.95792,105.93655633926392 373.0459289550781,34.63528961062119,309.9472792423811
9,1,0,59.10111 -100.71842,46.71149826049805 358.7738571166992,37.40204160510939,322.0657918040778
10,1,2,-1316.8563 -976.6792,-108.4730224609375 -596.414794921875,-57.89689701935847,-501.8512248890943
11,1,0,85.62779 -65.330215,37.14773178100586 341.2913055419922,33.999469185843466,293.0355953518506
12,1,0,-122.93979 -386.17734,93.27796936035156 375.5888366699219,47.89030797340308,394.3983322950839
13,1,0,-781.21094 -614.586,-94.58740234375 33.3265380859375,13.640789661541218,82.49491365892379
14,1,0,-321.86508 -437.32367,10.017547607421875 388.44635009765625,49.27208809070866,397.46149944005316
15,1,2,-1436.8182 -827.58887,-294.310791015625 -647.0880584716797,-54.38057695350485,-515.0703961786016
16,1,2,-954.91736 -696.0199,-103.58966064453125 -111.54412841796875,-7.1145979254041745,-66.62712536142823
17,1,0,-91.51784 -213.79768,31.4228515625 392.84251403808594,47.5129953701914,399.35421803266706
18,1,0,-320.57178 -294.66208,-24.178436279296875 388.5182800292969,45.28656600817824,375.54577422830965
19,1,0,-140.09137 -266.6296,7.05670166015625 430.4281921386719,50.099730296749726,421.75922915420506
20,1,0,-540.12695 -447.53757,-47.86187744140625 273.0835876464844,36.99555672999948,288.0847240041329
21,1,2,-1486.7488 -958.6171,-196.190673828125 -733.3128051757812,-60.90406760606917,-579.895016792881
22,1,0,-247.27475 -400.1114,26.74395751953125 419.1439208984375,50.880412434859984,418.06528542011694
23,1,0,-73.08387 -184.71085,14.492019653320312 400.3278503417969,46.78184623935036,397.79374066567846
24,1,0,-488.07858 -486.43527,-13.785308837890625 310.2818908691406,40.88386822388019,323.95862606742924
25,1,0,-397.7203 -363.68164,-36.180023193359375 358.93072509765625,44.358679361863906,358.19642088017406
26,1,0,-370.58316 -413.592,2.55419921875 375.1381530761719,48.02688311399261,384.7887060770637
27,1,2,-1000.7465 -716.7687,-135.5499267578125 -166.05731201171875,-13.609951077807144,-121.55052624986683
28,1,0,-435.6018 -497.11493,42.7479248046875 339.41766357421875,43.67275550118044,353.2266401772098
29,1,2,-1336.0132 -880.8109,-196.48779296875 -589.0704956054688,-56.24474149008986,-496.19917167801356
30,1,0,-449.7648 -410.7952,-22.924957275390625 315.0514221191406,42.64346495904774,333.6992895919297
31,1,2,-1491.286 -938.86755,-218.066162109375 -736.3014068603516,-60.960970538597884,-582.2548781171195
32,1,2,-1085.039 -859.4934,-23.6295166015625 -344.36688232421875,-31.934194358644923,-266.03739198672235
33,1,2,-1483.0444 -894.32574,-254.4599609375 -716.2824401855469,-59.700644726386265,-570.8588807520547
34,1,2,-1344.9735 -1057.2279,-58.8868408203125 -691.3925476074219,-58.48903765056105,-537.0617647441877
35,1,0,-243.96272 -282.14874,1.060394287109375 372.0106201171875,47.779902510022815,387.4397568986188
36,1,0,-372.0992 -488.20135,14.2081298828125 374.9947509765625,46.90514405654017,381.1842614905903
37,1,2,-1057.4463 -838.28955,-41.57318115234375 -323.8173828125,-29.324524281359256,-247.45360794662182
38,1,0,-85.981865 -279.93146,24.668251037597656 403.05718994140625,49.09023666655058,409.38031835405707
39,1,2,-1442.5742 -1018.97296,-157.0523681640625 -717.7068786621094,-61.641636449231314,-574.7729890578214
40,1,2,-963.0982 -676.1157,-130.87408447265625 -108.21697998046875,-7.122174889168566,-66.94039363316938
41,1,2,-1059.2509 -721.0622,-160.3701171875 -242.73220825195312,-18.998318172372514,-175.50010213574177
42,1,0,-311.75687 -461.50076,26.818450927734375 403.0810852050781,49.23982987289106,403.87131627102303
43,1,0,-299.16275 -471.46783,24.090179443359375 399.81512451171875,49.20583317186975,402.47512293736315
44,1,2,-1309.011 -894.3214,-170.331298828125 -569.7773132324219,-55.25387130703133,-480.54864561067114
45,1,0,-816.5748 -633.0288,-62.063720703125 25.7274169921875,10.313065020220094,67.9939263214674
46,1,0,-855.24866 -640.2149,-76.40716552734375 -29.3782958984375,5.621144308745407,24.506957117455823
47,1,0,-531.4835 -458.93915,-24.936004638671875 253.82537841796875,37.14409693943832,283.42751926750293
48,1,0,-448.03888 -382.77917,-0.082977294921875 319.45819091796875,42.140808270193986,334.06318444485834
49,1,0,-358.357 -353.33395,6.94891357421875 340.6882019042969,45.70641625615766,361.77133006478647
50,1,2,-1169.0619 -886.3927,-83.5374755859375 -445.1392822265625,-41.45264481031869,-354.0692858159334
51,1,0,-408.41885 -539.56573,23.972137451171875 359.456787109375,42.84012484525908,355.60021808573356
52,1,0,-553.22925 -476.079,-36.0335693359375 256.0132141113281,35.72433810690864,276.2296017260124
53,1,2,-1335.9219 -980.7769,-135.911376953125 -611.5941772460938,-58.8406209970929,-515.2845077138704
54,1,2,-1395.0111 -933.37994,-183.2440185546875 -657.7720031738281,-60.81463955288747,-547.3861647697697
55,1,0,-771.41644 -628.722,-82.0482177734375 33.4525146484375,13.65989553173244,83.27517277325617
56,1,0,-44.478924 -226.21675,16.935245513916016 388.25657653808594,47.46265150116991,397.8455054964139
57,1,2,-1020.3955 -836.37836,-18.681396484375 -290.1949462890625,-26.12146538830105,-217.95235673482694
58,1,0,-622.5673 -501.32254,-38.40228271484375 193.23873901367188,29.64570711600283,222.5894208564929
59,1,2,-1344.3331 -808.2482,-257.040771484375 -554.8278503417969,-50.500138418720674,-457.5634606691775
60,1,0,-370.388 -343.13663,1.3380126953125 365.6239929199219,45.512795208103725,368.9494339281838
61,1,2,-1126.3489 -894.0367,-7.49951171875 -430.20892333984375,-36.293725418295075,-316.19995622008713
62,1,0,-826.47906 -600.15027,-178.3603515625 28.06072998046875,10.931076157688535,60.40464938658426
63,1,0,-483.15582 -499.7615,-35.9207763671875 293.7203063964844,40.72578620571436,316.59212494919814
64,1,0,-164.5906 -311.53424,18.548065185546875 407.14361572265625,50.8543128940445,416.90521260422383
65,1,0,-37.03189 -206.93877,34.527618408203125 397.8648223876953,47.057637298293585,400.0310836816669
66,1,0,-780.92444 -659.2816,-73.9468994140625 76.7945556640625,11.733736230514765,95.38327647947219
67,1,2,-1346.589 -1003.3065,-110.3538818359375 -642.1430358886719,-59.179796368965384,-526.0826134155334
68,1,2,-1375.1836 -882.029,-220.5535888671875 -617.7045288085938,-57.82415156640335,-519.8866482372223
69,1,2,-1117.2865 -912.0992,-7.9713134765625 -432.0762939453125,-36.31154040747147,-316.93299065419114
70,1,0,-149.2306 -191.9996,53.08447265625 408.2232971191406,43.080772304314785,375.1173317636887
71,1,2,-1213.5879 -803.2741,-166.760986328125 -444.0587158203125,-41.88959813764675,-365.1767796339052
72,1,0,-267.10376 -391.59024,7.46124267578125 401.0935363769531,50.648905464098284,410.0671337243199
73,1,2,-1309.3286 -811.59106,-249.650146484375 -523.78173828125,-49.43180581105302,-440.41004445189446
74,1,0,-128.00581 -332.33963,29.719512939453125 415.6713562011719,49.985951722623746,416.39033196686023
75,1,2,-975.93225 -789.545,36.83868408203125 -228.15740966796875,-18.846923220809966,-160.11137756294215
76,1,2,-1216.166 -950.5475,-53.506103515625 -520.9976806640625,-48.2501038039661,-417.16217786265065
77,1,2,-1098.1559 -917.604,24.0064697265625 -404.005859375,-34.81903554322637,-298.0331452042618
78,1,0,-609.2863 -511.73004,-25.3690185546875 201.46209716796875,30.775067155741937,232.08794712472766
79,1,0,-821.45654 -669.1446,-159.30816650390625 -65.25323486328125,7.47943533288955,14.148345921235105
80,1,2,-1124.4725 -738.7316,-188.72418212890625 -304.5443115234375,-25.9197256139259,-233.59374652967009
81,1,0,-264.3399 -301.06287,-21.848724365234375 372.10760498046875,48.1529843402716,386.80815504955365
82,1,0,-668.532 -554.49146,-68.48828125 184.17510986328125,25.753545767862256,198.49919731761864
83,1,0,-710.799 -563.70935,-55.76995849609375 116.8651123046875,20.995755013965393,150.325329594663
84,1,0,-67.9766 -197.33363,37.9969482421875 401.3982391357422,46.848402639266595,400.1004336827243
85,1,2,-1072.6053 -820.39984,-69.87322998046875 -329.8769226074219,-29.55623392166753,-252.27999851152447
86,1,0,-363.81415 -431.86252,21.979156494140625 378.6919250488281,48.37022044142529,388.8760394836469
87,1,0,-402.3234 -407.22748,-24.540130615234375 343.43182373046875,45.97924058147949,361.28322304312604
88,1,2,-1044.6512 -702.4751,-168.91815185546875 -196.29995727539062,-16.478929570791657,-147.41229625972932
89,1,0,-745.51587 -607.0185,-86.650634765625 109.60430908203125,17.613299189376274,131.56479408324205
90,1,2,-1412.1669 -954.0979,-177.3848876953125 -684.8586120605469,-61.67645912522145,-562.440058769978
91,1,2,-1431.3553 -948.6163,-188.6602783203125 -713.6736755371094,-61.79323458159018,-574.3492301993108
92,1,0,-697.1393 -580.108,-41.16400146484375 118.9364013671875,21.880062602865923,157.92577881509328
93,1,0,-319.3781 -420.24298,5.347015380859375 390.21441650390625,49.4092837654216,398.2193962112469
94,1,0,31.044167 -107.64257,122.4281997680664 443.6524124145508,39.371191281487015,364.58454069222523
95,1,2,-1419.0936 -887.99304,-222.5322265625 -664.8908081054688,-59.68496515491944,-547.8909171767286
96,1,0,-654.07007 -575.0553,-27.0130615234375 187.7716064453125,25.853624755548054,204.18427676305475
97,1,0,-862.48816 -653.3288,-80.31048583984375 -17.690185546875,4.39189573401943,23.505306790566323
98,1,2,-1432.2574 -1050.8064,-99.4625244140625 -751.9995422363281,-60.399305713494016,-573.7890423705173
99,1,2,-1048.329 -756.3368,-117.96380615234375 -260.2338562011719,-21.495410905458503,-192.0638510990418
100,1,2,-1256.5515 -990.88,-58.138427734375 -564.2398376464844,-52.69262996435977,-458.4793733670329
101,1,0,-258.95227 -345.1982,29.2386474609375 409.4007263183594,50.682940721677745,413.7069492416232
102,1,2,-1054.8325 -876.0785,-2.4794921875 -336.74969482421875,-30.371511860329637,-254.10051136287427
103,1,0,-716.61804 -575.51166,-27.59649658203125 110.15130615234375,20.37295953959722,146.54533026450358
104,1,2,-1349.963 -858.27386,-222.0836181640625 -594.449951171875,-55.48582596159745,-497.2213099907781
105,1,0,-584.5587 -519.2399,-9.13299560546875 239.78564453125,33.27480017586636,259.6253612205504
106,1,2,-1213.0115 -820.71014,-181.9727783203125 -447.9755554199219,-42.66754562608756,-371.1342314697499
107,1,0,-562.4412 -511.50592,-28.0157470703125 252.95245361328125,34.821775463500856,271.2208131741611
108,1,0,-497.00464 -434.27286,-25.599884033203125 315.6697692871094,40.38068869637186,321.40601064656914
109,1,0,-364.13193 -321.5784,13.440277099609375 354.7151184082031,44.44418116172207,360.744768923552
110,1,2,-890.79065 -708.82245,-54.99755859375 -97.83135986328125,-1.9128905282124624,-35.832746206405325
111,1,2,-1358.2113 -1042.3364,-55.0299072265625 -663.2138671875,-58.226330451688646,-526.228219866319
112,1,2,-1234.0242 -888.41675,-122.3717041015625 -505.9828796386719,-48.57647121248018,-417.83580436925934
113,1,0,-125.7617 -261.49884,33.66485595703125 413.56976318359375,49.83826434151846,416.303530074951
114,1,2,-1315.2048 -921.60547,-144.94580078125 -595.239013671875,-56.63469537205781,-495.4314473921879
115,1,0,-247.01729 -360.44,1.1173553466796875 390.84869384765625,50.639458751472,405.9100875558826
116,1,0,-715.3615 -600.74945,-31.47857666015625 112.64190673828125,19.942605299809237,147.0179448848731
117,1,0,-72.644104 -292.62308,72.57131958007812 375.3075866699219,48.90246101174074,401.65390216041646
118,1,2,-1383.0264 -1066.8839,-95.05859375 -675.309814453125,-58.75863241017492,-535.9564760656792
119,1,2,-866.601 -687.2715,-53.415283203125 -72.1041259765625,2.2310649504821805,-6.6807830533827595
120,2,1,1383.5803 1015.57446,120.685791015625 -106.6416015625,-3.4302188728158876,-21.55817583463728
121,2,1,1581.9305 991.63275,136.7000732421875 -100.93988037109375,-3.4929717471170822,-20.799999435754565
122,2,0,472.343 363.24115,21.43389892578125 -41.257049560546875,5.316312822439814,16.174261435809797
123,2,1,1497.2786 1077.8335,140.26708984375 -87.809814453125,-3.2882797566059927,-14.172337646197887
124,2,1,1184.1858 803.3506,70.5968017578125 -112.95025634765625,-3.7828640495466415,-32.46776312970563
125,2,0,371.2332 217.64514,-58.48406982421875 -32.90660095214844,8.57475315803164,17.961556089331523
126,2,1,486.37476 193.03568,-160.03094482421875 -121.1878662109375,7.349784705764566,-36.542336947618814
127,2,1,1085.3976 645.3712,32.6396484375 -100.5760498046875,-3.3808630154153763,-32.74515580003957
128,2,1,1612.7251 983.4077,124.9814453125 -107.0340576171875,-3.5485535267134205,-24.124968964677322
129,2,1,1610.3699 1007.1531,129.3760986328125 -107.587646484375,-3.5511070613480324,-23.92271475253105
130,2,0,452.82278 282.86407,-24.52130126953125 -34.56549072265625,6.484893500934056,15.502704399394911
131,2,1,1647.6035 1015.58276,128.118408203125 -114.0758056640625,-3.5393819913340616,-26.413955457505992
132,2,1,1541.9567 1158.9329,197.121337890625 -73.5072021484375,-2.7374655362497835,-3.6214704000020728
133,2,1,975.764 606.07935,-4.708251953125 -116.68756103515625,-3.1749941119542298,-42.09963358008581
134,2,1,1367.8861 980.3038,119.1439208984375 -104.59576416015625,-3.4657749607926265,-20.952362513098862
135,2,0,138.91971 -20.455017,-181.496826171875 48.509315490722656,24.502454579131374,125.80608484182387
136,2,1,853.76776 432.5658,-11.7056884765625 -161.6207275390625,-2.2416672075844684,-64.47746117825709
137,2,1,1536.6796 1014.57196,128.09716796875 -93.44439697265625,-3.4606658639410677,-18.009825866796454
138,2,1,1457.8973 898.1722,104.1373291015625 -83.64007568359375,-3.394271248583422,-15.627114789167976
139,2,1,1582.6288 1088.9785,162.30322265625 -96.758544921875,-3.353333715326702,-16.984051005894038
140,2,1,1209.2202 743.30676,45.5418701171875 -104.82855224609375,-3.8048675659026934,-31.919152928735606
141,2,0,281.16888 152.34027,-70.37185668945312 -2.0941314697265625,11.87417556440505,39.2328823372764
142,2,1,1476.3944 1041.6188,151.300048828125 -102.5880126953125,-3.4280201645280943,-18.96824783538032
143,2,1,1568.7853 1024.0127,122.382568359375 -99.8668212890625,-3.52813446756671,-21.115067556966316
144,2,1,1277.4962 882.8837,114.3963623046875 -72.59808349609375,-3.2680003948856435,-10.46982318286836
145,2,1,1367.0376 865.6044,98.026123046875 -93.81982421875,-3.540688727860548,-19.752197838802562
146,2,1,1314.9451 887.8976,99.8603515625 -105.45947265625,-3.6254681059802647,-23.996749489945465
147,2,1,829.18134 482.6757,-6.32244873046875 -93.32955932617188,-1.3194417427648617,-32.94267956582826
148,2,3,1284.4254 920.39386,151.204345703125 -58.7906494140625,-2.9575223260449794,-2.1037150232940256
149,2,1,351.0044 131.27548,-132.67575073242188 -57.08934020996094,10.671776518606789,3.0266959523747623
150,2,1,1337.7551 834.298,93.857177734375 -106.5052490234375,-3.674841830372008,-25.370412827126763
151,2,0,251.04234 149.24702,-110.77757263183594 19.599868774414062,12.172316782938442,46.17821734414502
152,2,1,630.23914 393.09915,18.84185791015625 -83.734619140625,2.746783932070591,-7.786247320389437
153,2,0,155.68224 21.87727,-125.08119201660156 65.0441665649414,22.109633386094337,124.01805682639537
154,2,0,430.8643 371.97266,35.369598388671875 5.8719482421875,5.8520242210557845,35.88940680509852
155,2,1,1489.1748 921.28894,117.26171875 -101.60479736328125,-3.5710692562947415,-22.020204742009142
156,2,1,1275.919 935.461,107.53125 -94.57672119140625,-3.349125448072778,-18.300626842574133
157,2,1,696.7347 420.35803,4.948974609375 -68.1278076171875,1.8384442430223418,-7.3251898962829305
158,2,1,1546.6406 1076.778,145.265625 -107.328369140625,-3.4643217811413045,-21.42591584849837
159,2,0,340.23566 231.24432,-39.991485595703125 -19.748428344726562,8.605562123531893,27.44705088349849
160,2,1,852.22455 468.37717,-23.993408203125 -109.75210571289062,-1.8242992030455283,-46.15569274873166
161,2,1,837.286 445.66547,2.763671875 -71.94287109375,-1.415149298048398,-30.200358719248875
162,2,1,1320.5936 992.8636,115.94384765625 -106.28619384765625,-3.3326825609230903,-20.545612861981198
163,2,1,1385.2496 1040.3763,150.49755859375 -98.8646240234375,-3.287698472264816,-17.1806446299216
164,2,1,387.20773 172.49796,-118.37078857421875 -71.33592224121094,9.127575456690364,-5.758032021369436
165,2,1,984.8816 579.7114,19.10333251953125 -111.33392333984375,-3.2873883766364886,-42.79362594206862
166,2,1,935.50226 538.4836,1.1455078125 -110.55560302734375,-2.9009230271271065,-44.390721923714494
167,2,1,1221.592 771.08527,64.7186279296875 -95.953857421875,-3.711579090669089,-26.53311596636788
168,2,1,1367.3527 818.22015,87.7518310546875 -96.612060546875,-3.5743280303412095,-22.12501826031521
169,2,1,1355.9077 835.4384,93.5882568359375 -108.5650634765625,-3.704741385990438,-26.44010224158019
170,2,1,565.77765 328.99344,-32.7178955078125 -65.60403442382812,4.388965233769692,-4.229953707665244
171,2,1,1277.8203 974.94183,127.1920166015625 -95.37628173828125,-3.1797596451926187,-16.627426327003118
172,2,1,1242.6731 785.7385,65.904296875 -96.5819091796875,-3.7083539441911806,-25.965155801128155
173,2,1,457.93173 258.81058,-47.714569091796875 -64.22467041015625,6.418023900975853,0.3259694622164133
174,2,0,343.49896 172.54034,-80.75033569335938 -24.07232666015625,10.326338162217901,22.886572734580465
175,2,1,1044.4836 628.7807,35.815185546875 -97.5797119140625,-3.4677358300215264,-34.40230608534309
176,2,1,1598.8181 1070.2676,153.3572998046875 -101.5032958984375,-3.4420057111449114,-19.696600044768385
177,2,1,691.4523 454.2059,15.20977783203125 -68.32803344726562,1.9169165310371394,-4.097480037456434
178,2,1,1116.8773 696.73004,36.130859375 -104.86676025390625,-3.68332215321894,-34.502517627157715
179,2,0,263.5347 37.92371,-250.62899780273438 -95.8048210144043,17.47518290709729,29.048195886760872
180,2,1,1376.5623 847.27716,102.9908447265625 -88.33673095703125,-3.4692389582279386,-17.509238233172404
181,2,1,573.5318 364.31918,-15.9080810546875 -60.233551025390625,3.9217500085582664,1.1503519634358106
182,2,1,949.61444 616.904,5.3992919921875 -92.15380859375,-2.5929036692973466,-28.52167172287953
183,2,1,1289.0481 873.48444,100.4088134765625 -98.36651611328125,-3.5475306250450584,-21.387387335534413
184,2,1,1496.6915 1042.9529,140.859130859375 -94.7774658203125,-3.3699741724914185,-16.608682940441213
185,2,1,1576.1605 1049.6565,126.4853515625 -105.58154296875,-3.5586260790116806,-23.05531583929085
186,2,1,1017.40704 648.9707,31.5032958984375 -129.67657470703125,-3.6460902226885903,-48.58983577936107
187,2,0,426.92026 279.4051,-30.412353515625 -44.325347900390625,6.657601931759229,12.94264981519597
188,2,0,241.89163 79.98839,-203.58221435546875 -67.69700622558594,15.661317806137413,31.58670417229466
