ID,GROUP,CC,EMBEDDING_POS,VELOCITY_VECTOR,FINE_PCA,COARSE_PCA
from 5.0 to 10.0 100.0
NumNodes: 240
0,1,0,567.1472 1381.7058,155.03289794921875 544.4806518554688,21.42813005015912,400.58065573937034
1,1,0,550.70935 1165.9757,202.63241577148438 519.9962158203125,20.931260301017115,403.35009767674467
2,1,0,1759.3204 1829.2493,423.3270263671875 337.238525390625,18.48758693490862,360.2746745501094
3,1,0,494.77386 1304.2334,177.78799438476562 521.2137451171875,20.71136095902925,394.3854325961845
4,1,0,876.3869 1483.0184,185.4947509765625 578.734619140625,24.944819984583397,449.69044140287474
5,1,0,1697.7747 1942.436,504.047119140625 409.736083984375,24.480082060888634,465.9065456096039
6,1,0,1449.89 1872.1392,372.734130859375 534.7001953125,22.80226972637585,461.465362277116
7,1,0,1054.6548 1418.6871,179.4912109375 619.9854736328125,23.397212998668863,441.63214543588265
8,1,0,481.63818 1089.1012,176.01547241210938 494.28515625,16.841571497259817,346.1817825571077
9,1,0,442.87448 1129.0233,154.98687744140625 524.5857543945312,18.14635008341461,365.72492784588474
10,1,0,1668.0093 1877.2649,426.808837890625 396.829345703125,23.870790411982007,437.1683808814314
11,1,0,459.4207 1108.7787,210.16644287109375 497.599609375,17.65638229169173,361.48631762977357
12,1,0,384.01413 1299.6132,141.7108612060547 493.1995849609375,15.169301946244211,318.81636493969563
13,1,0,1095.4031 1509.4102,189.163330078125 617.4357299804688,26.13840050977386,474.02135209287223
14,1,0,634.37213 1368.3987,172.13168334960938 548.03076171875,23.007787887080667,419.719076794784
15,1,0,1574.3834 2055.19,574.4782104492188 574.0758056640625,21.869992709960194,493.6546405474048
16,1,0,1225.7954 1698.4288,288.29974365234375 612.767578125,21.79160950193179,455.26353402665166
17,1,0,521.0119 1206.2567,208.84564208984375 526.81201171875,21.833463508281863,414.7470363750167
18,1,0,723.7915 1234.3785,199.926513671875 574.0411376953125,22.28571218231961,423.4420727420834
19,1,0,453.4682 1224.8784,201.99591064453125 510.9193115234375,20.100552741376607,389.6022546063804
20,1,0,861.0496 1355.925,178.248779296875 599.8268432617188,25.562548934800233,457.7569048907206
21,1,0,1740.4606 2035.2952,604.793701171875 423.64892578125,22.829924916416097,471.4599079130369
22,1,0,576.8774 1359.4097,189.36642456054688 531.3922729492188,21.647155836443677,404.5062305664385
23,1,0,480.92435 1170.6786,180.79156494140625 512.2115478515625,20.510847005740487,393.4115537816751
24,1,0,791.3032 1421.0885,170.52716064453125 572.047119140625,25.60284687789988,451.07363055995734
25,1,0,747.73376 1307.3936,190.57696533203125 578.931396484375,25.220505192788806,453.5284359975485
26,1,0,724.5542 1364.0293,185.3953857421875 568.6456298828125,24.859643577684697,444.57112588751176
27,1,0,1252.0415 1672.914,249.14166259765625 595.8116455078125,22.292569380084842,449.07121948509257
28,1,0,792.792 1475.0845,156.00177001953125 564.0196533203125,21.52690713790804,403.23247088208956
29,1,0,1594.178 1951.9094,473.200439453125 485.4718017578125,25.286471502942952,492.0329788256811
30,1,0,819.9933 1338.1326,190.78790283203125 601.1902465820312,25.766786479006058,463.29358002893866
31,1,0,1718.2202 2054.338,614.834228515625 452.03271484375,22.439410222346616,474.15221519425035
32,1,0,1563.9647 1734.8164,248.1126708984375 406.726806640625,19.171592543035405,354.83631841707677
33,1,0,1668.5686 2072.4258,613.8306884765625 499.5230712890625,22.81988868829822,492.98338769270504
